NR Number,Strain Name,Plate,Well,Gene Name,Gene Description,Accession Number,Plate 1,plate,underscore,location
NR-47072,NE529,2,J1,purA,adenylosuccinate synthetase,SAUSA300_0017,E1,6,_,6_E1
NR-47073,NE530,2,J3,,"transcriptional regulator, AraC family",SAUSA300_2248,E2,6,_,6_E2
NR-47074,NE531,2,J5,,putative drug transporter,SAUSA300_2128,E3,6,_,6_E3
NR-47075,NE532,2,J7,,conserved hypothetical protein,SAUSA300_2473,E4,6,_,6_E4
NR-47076,NE533,2,J9,,"ABC transporter, permease protein",SAUSA300_0436,E5,6,_,6_E5
NR-47077,NE534,2,J11,,conserved hypothetical protein,SAUSA300_1537,E6,6,_,6_E6
NR-47078,NE535,2,J13,spsA,signal peptidase IA,SAUSA300_0867,E7,6,_,6_E7
NR-47079,NE536,2,J15,,conserved hypothetical protein,SAUSA300_0780,E8,6,_,6_E8
NR-47080,NE537,2,J17,,conserved hypothetical protein,SAUSA300_0378,E9,6,_,6_E9
NR-47081,NE538,2,J19,thiI,thiamine biosynthesis protein ThiI,SAUSA300_1661,E10,6,_,6_E10
NR-47082,NE539,2,J21,fadE,acyl-CoA synthetase FadE,SAUSA300_0228,E11,6,_,6_E11
NR-47083,NE540,2,J23,,conserved hypothetical protein,SAUSA300_2615,E12,6,_,6_E12
NR-47084,NE541,2,L1,,"peptide ABC transporter, permease protein",SAUSA300_0201,F1,6,_,6_F1
NR-47085,NE542,2,L3,,"putative fructose-1,6-bisphosphatase",SAUSA300_2455,F2,6,_,6_F2
NR-47086,NE543,2,L5,clfA,clumping factor A,SAUSA300_0772,F3,6,_,6_F3
NR-47087,NE544,2,L7,nupC,pyrimidine nucleoside transport protein,SAUSA300_0506,F4,6,_,6_F4
NR-47088,NE545,2,L9,,conserved hypothetical protein,SAUSA300_0298,F5,6,_,6_F5
NR-47089,NE546,2,L11,,conserved hypothetical protein,SAUSA300_0564,F6,6,_,6_F6
NR-47090,NE547,2,L13,sucA,"2-oxoglutarate dehydrogenase, E1 component",SAUSA300_1306,F7,6,_,6_F7
NR-47091,NE548,2,L15,,putative transporter,SAUSA300_2139,F8,6,_,6_F8
NR-47092,NE549,2,L17,,homoserine dehydrogenase,SAUSA300_1226,F9,6,_,6_F9
NR-47093,NE550,2,L19,,conserved hypothetical protein,SAUSA300_2269,F10,6,_,6_F10
NR-47094,NE551,2,L21,,putative fibronectin/fibrinogen binding protein,SAUSA300_1101,F11,6,_,6_F11
NR-47095,NE552,2,L23,,"oligopeptide ABC transporter, ATP-binding protein",SAUSA300_2408,F12,6,_,6_F12
NR-47096,NE553,2,N1,,conserved hypothetical protein,SAUSA300_0261,G1,6,_,6_G1
NR-47097,NE554,2,N3,vraR,DNA-binding response regulator,SAUSA300_1865,G2,6,_,6_G2
NR-47098,NE555,2,N5,recF,DNA replication and repair protein recF,SAUSA300_0004,G3,6,_,6_G3
NR-47099,NE556,2,N7,,conserved hypothetical protein,SAUSA300_2510,G4,6,_,6_G4
NR-47100,NE557,2,N9,,iron transport associated domain protein,SAUSA300_1030,G5,6,_,6_G5
NR-47101,NE558,2,N11,lukE,leukotoxin LukE,SAUSA300_1769,G6,6,_,6_G6
NR-47102,NE559,2,N13,,conserved hypothetical phage protein,SAUSA300_1426,G7,6,_,6_G7
NR-47103,NE560,2,N15,gltS,sodium/glutamate symporter,SAUSA300_2291,G8,6,_,6_G8
NR-47104,NE561,2,N17,,copper-translocating P-type ATPase,SAUSA300_2494,G9,6,_,6_G9
NR-47105,NE562,2,N19,,ROK family protein,SAUSA300_0316,G10,6,_,6_G10
NR-47106,NE563,2,N21,,glutathione peroxidase,SAUSA300_2555,G11,6,_,6_G11
NR-47107,NE564,2,N23,cidC,pyruvate oxidase,SAUSA300_2477,G12,6,_,6_G12
NR-47108,NE565,2,P1,,ATP-dependent RNA helicase,SAUSA300_2037,H1,6,_,6_H1
NR-47109,NE566,2,P3,gltT,proton/sodium-glutamate symport protein,SAUSA300_2329,H2,6,_,6_H2
NR-47110,NE567,2,P5,,"transcriptional regulator, MarR family",SAUSA300_2331,H3,6,_,6_H3
NR-47111,NE568,2,P7,,Zn-binding lipoprotein adcA-like protein,SAUSA300_2351,H4,6,_,6_H4
NR-47112,NE569,2,P9,sucC,"succinyl-CoA synthetase, beta subunit",SAUSA300_1138,H5,6,_,6_H5
NR-47113,NE570,2,P11,hutH,histidine ammonia-lyase,SAUSA300_0008,H6,6,_,6_H6
NR-47114,NE571,2,P13,,putative transposase,SAUSA300_2263,H7,6,_,6_H7
NR-47115,NE572,2,P15,,D-isomer specific 2-hydroxyacid dehydrogenase,SAUSA300_0834,H8,6,_,6_H8
NR-47116,NE573,2,P17,ribBA,riboflavin biosynthesis protein,SAUSA300_1713,H9,6,_,6_H9
NR-47117,NE574,2,P19,,hypothetical protein,SAUSA300_0072,H10,6,_,6_H10
NR-47118,NE575,2,P21,,"oxidoreductase, aldo/keto reductase family",SAUSA300_1450,H11,6,_,6_H11
NR-47119,NE576,2,P23,gutB,sorbitol dehydrogenase,SAUSA300_0242,H12,6,_,6_H12
,,,,,,,Plate 7,,_,_Plate 7
NR-47120,NE577,2,A2,,PAP2 family protein,SAUSA300_1310,A1,7,_,7_A1
NR-47121,NE578,2,A4,,"iron compound ABC transporter, permease protein",SAUSA300_0599,A2,7,_,7_A2
NR-47122,NE579,2,A6,,aspartate kinase,SAUSA300_1286,A3,7,_,7_A3
NR-47123,NE580,2,A8,cap5G,capsular polysaccharide biosynthesis protein cap5G,SAUSA300_0158,A4,7,_,7_A4
NR-47124,NE581,2,A10,purF,amidophosphoribosyltransferase,SAUSA300_0972,A5,7,_,7_A5
NR-47125,NE582,2,A12,,conserved hypothetical protein,SAUSA300_1333,A6,7,_,7_A6
NR-47126,NE583,2,A14,,conserved hypothetical protein,SAUSA300_1716,A7,7,_,7_A7
NR-47127,NE584,2,A16,narK,nitrite extrusion protein,SAUSA300_2333,A8,7,_,7_A8
NR-47128,NE585,2,A18,,NAD-dependent epimerase/dehydratase family protein,SAUSA300_0130,A9,7,_,7_A9
NR-47129,NE586,2,A20,hutI,imidazolonepropionase,SAUSA300_2277,A10,7,_,7_A10
NR-47130,NE587,2,A22,pheA,prephenate dehydratase,SAUSA300_1896,A11,7,_,7_A11
NR-47131,NE588,2,A24,srrB,"staphylococcal respiratory response protein, srrB",SAUSA300_1441,A12,7,_,7_A12
NR-47132,NE589,2,C2,,sodium/bile acid symporter family protein,SAUSA300_2268,B1,7,_,7_B1
NR-47133,NE590,2,C4,copA,ATPase copper transport,SAUSA300_0078,B2,7,_,7_B2
NR-47134,NE591,2,C6,,trans-sulfuration enzyme family protein,SAUSA300_0359,B3,7,_,7_B3
NR-47135,NE592,2,C8,atpA,"ATP synthase F1, alpha subunit",SAUSA300_2060,B4,7,_,7_B4
NR-47136,NE593,2,C10,trpE,anthranilate synthase component I,SAUSA300_1262,B5,7,_,7_B5
NR-47137,NE594,2,C12,gltA,citrate synthase II,SAUSA300_1641,B6,7,_,7_B6
NR-47138,NE595,2,C14,argJ,arginine biosynthesis bifunctional protein ArgJ,SAUSA300_0185,B7,7,_,7_B7
NR-47139,NE596,2,C16,sgtB,monofunctional glycosyltransferase,SAUSA300_1855,B8,7,_,7_B8
NR-47140,NE597,2,C18,ispE,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,SAUSA300_0472,B9,7,_,7_B9
NR-47141,NE598,2,C20,,putative N-acetyltransferase,SAUSA300_2631,B10,7,_,7_B10
NR-47142,NE599,2,C22,,conserved hypothetical protein,SAUSA300_0146,B11,7,_,7_B11
NR-47143,NE600,2,C24,,putative peptidase,SAUSA300_2087,B12,7,_,7_B12
NR-47144,NE601,2,E2,,conserved hypothetical protein,SAUSA300_0660,C1,7,_,7_C1
NR-47145,NE602,2,E4,,conserved hypothetical protein,SAUSA300_2376,C2,7,_,7_C2
NR-47146,NE603,2,E6,moeA,molybdopterin biosynthesis protein A,SAUSA300_2224,C3,7,_,7_C3
NR-47147,NE604,2,E8,,conserved hypothetical protein,SAUSA300_0284,C4,7,_,7_C4
NR-47148,NE605,2,E10,brnQ,branched-chain amino acid transport system II carrier protein,SAUSA300_0306,C5,7,_,7_C5
NR-47149,NE606,2,E12,,conserved hypothetical protein,SAUSA300_0199,C6,7,_,7_C6
NR-47150,NE607,2,E14,phnE,"phosphonate ABC transporter, permease protein",SAUSA300_0143,C7,7,_,7_C7
NR-47151,NE608,2,E16,,conserved hypothetical protein,SAUSA300_1210,C8,7,_,7_C8
NR-47152,NE609,2,E18,,conserved hypothetical protein,SAUSA300_0086,C9,7,_,7_C9
NR-47153,NE610,2,E20,lysP,lysine-specific permease,SAUSA300_1628,C10,7,_,7_C10
NR-47154,NE611,2,E22,,"glycosyl transferase, group 1 family protein",SAUSA300_0939,C11,7,_,7_C11
NR-47155,NE612,2,E24,pflB,formate acetyltransferase,SAUSA300_0220,C12,7,_,7_C12
NR-47156,NE613,2,G2,,ATP guanido phosphotransferase,SAUSA300_0509,D1,7,_,7_D1
NR-47157,NE614,2,G4,galU,UTP-glucose-1-phosphate uridylyltransferase,SAUSA300_2439,D2,7,_,7_D2
NR-47158,NE615,2,G6,,conserved hypothetical protein,SAUSA300_0040,D3,7,_,7_D3
NR-47159,NE616,2,G8,,conserved hypothetical protein,SAUSA300_0754,D4,7,_,7_D4
NR-47160,NE617,2,G10,epiG,lantibiotic epidermin immunity protein F,SAUSA300_1760,D5,7,_,7_D5
NR-47161,NE618,2,G12,phoR,sensory box histidine kinase PhoR,SAUSA300_1638,D6,7,_,7_D6
NR-47162,NE619,2,G14,,"5'-nucleotidase, lipoprotein e(P4) family",SAUSA300_0307,D7,7,_,7_D7
NR-47163,NE620,2,G16,,PAP2 family protein,SAUSA300_0429,D8,7,_,7_D8
NR-47164,NE621,2,G18,,conserved hypothetical protein,SAUSA300_0581,D9,7,_,7_D9
NR-47165,NE622,2,G20,,putative nucleoside permease NupC,SAUSA300_0313,D10,7,_,7_D10
NR-47166,NE623,2,G22,arcA,arginine deiminase,SAUSA300_2570,D11,7,_,7_D11
NR-47167,NE624,2,G24,,conserved hypothetical protein,SAUSA300_0679,D12,7,_,7_D12
NR-47168,NE625,2,I2,,sodium:dicarboxylate symporter family protein,SAUSA300_0382,E1,7,_,7_E1
NR-47169,NE626,2,I4,sdhA,"succinate dehydrogenase, flavoprotein subunit",SAUSA300_1047,E2,7,_,7_E2
NR-47170,NE627,2,I6,,putative membrane protein,SAUSA300_2211,E3,7,_,7_E3
NR-47171,NE628,2,I8,,formate/nitrite transporter family protein,SAUSA300_2349,E4,7,_,7_E4
NR-47172,NE629,2,I10,,glycerate kinase family protein,SAUSA300_0726,E5,7,_,7_E5
NR-47173,NE630,2,I12,,"acetyltransferase, GNAT family",SAUSA300_0665,E6,7,_,7_E6
NR-47174,NE631,2,I14,,phiPVL ORF39-like protein,SAUSA300_1962,E7,7,_,7_E7
NR-47175,NE632,2,I16,,conserved hypothetical protein,SAUSA300_0390,E8,7,_,7_E8
NR-47176,NE633,2,I18,,conserved hypothetical protein,SAUSA300_2415,E9,7,_,7_E9
NR-47177,NE634,2,I20,,putative membrane protein,SAUSA300_1809,E10,7,_,7_E10
NR-47178,NE635,2,I22,ribE,"riboflavin synthase, alpha subunit",SAUSA300_1714,E11,7,_,7_E11
NR-47179,NE636,2,I24,,exfoliative toxin A,SAUSA300_1065,E12,7,_,7_E12
NR-47180,NE637,2,K2,cbf1,cmp-binding-factor 1,SAUSA300_1791,F1,7,_,7_F1
NR-47181,NE638,2,K4,,conserved hypothetical protein,SAUSA300_0353,F2,7,_,7_F2
NR-47182,NE639,2,K6,,putative glycerophosphoryl diester phosphodiesterase,SAUSA300_0030,F3,7,_,7_F3
NR-47183,NE640,2,K8,,conserved hypothetical phage protein,SAUSA300_1413,F4,7,_,7_F4
NR-47184,NE641,2,K10,lytM,peptidoglycan hydrolase,SAUSA300_0270,F5,7,_,7_F5
NR-47185,NE642,2,K12,budA,alpha-acetolactate decarboxylase,SAUSA300_2536,F6,7,_,7_F6
NR-47186,NE643,2,K14,,staphylococcal tandem lipoprotein,SAUSA300_0102,F7,7,_,7_F7
NR-47187,NE644,2,K16,,"acetyltransferase, GNAT family",SAUSA300_2595,F8,7,_,7_F8
NR-47188,NE645,2,K18,,"ABC transporter, ATP-binding protein",SAUSA300_0647,F9,7,_,7_F9
NR-47189,NE646,2,K20,rpoE,"DNA-directed RNA polymerase, delta subunit",SAUSA300_2082,F10,7,_,7_F10
NR-47190,NE647,2,K22,,conserved hypothetical protein,SAUSA300_1485,F11,7,_,7_F11
NR-47191,NE648,2,K24,glvC,"PTS system, arbutin-like IIBC component",SAUSA300_2270,F12,7,_,7_F12
NR-47192,NE649,2,M2,,staphylococcal tandem lipoprotein,SAUSA300_0101,G1,7,_,7_G1
NR-47193,NE650,2,M4,deoD,purine nucleoside phosphorylase,SAUSA300_2091,G2,7,_,7_G2
NR-47194,NE651,2,M6,,exotoxin,SAUSA300_0400,G3,7,_,7_G3
NR-47195,NE652,2,M8,ampA,cytosol aminopeptidase,SAUSA300_0845,G4,7,_,7_G4
NR-47196,NE653,2,M10,,putative lipoprotein,SAUSA300_0297,G5,7,_,7_G5
NR-47197,NE654,2,M12,,"hydrolase, alpha/beta hydrolase fold family",SAUSA300_0604,G6,7,_,7_G6
NR-47198,NE655,2,M14,msrB,methionine-R-sulfoxide reductase,SAUSA300_1316,G7,7,_,7_G7
NR-47199,NE656,2,M16,,HIT family protein,SAUSA300_1787,G8,7,_,7_G8
NR-47200,NE657,2,M18,panD,aspartate 1-decarboxylase,SAUSA300_2532,G9,7,_,7_G9
NR-47201,NE658,2,M20,potD,"spermidine/putrescine ABC transporter, spermidine/putrescine-binding protein",SAUSA300_1002,G10,7,_,7_G10
NR-47202,NE659,2,M22,,conserved hypothetical protein,SAUSA300_2414,G11,7,_,7_G11
NR-47203,NE660,2,M24,gcvT,aminomethyltransferase (glycine cleavage system T protein),SAUSA300_1498,G12,7,_,7_G12
NR-47204,NE661,2,O2,,"putative Na+/H+ antiporter, MnhG component",SAUSA300_0616,H1,7,_,7_H1
NR-47205,NE662,2,O4,,putative NAD(P)H-flavin oxidoreductase,SAUSA300_0381,H2,7,_,7_H2
NR-47206,NE663,2,O6,,"maltose ABC transporter, permease protein",SAUSA300_0211,H3,7,_,7_H3
NR-47207,NE664,2,O8,,conserved hypothetical protein,SAUSA300_0516,H4,7,_,7_H4
NR-47208,NE665,2,O10,,"transcriptional regulator, Fur family",SAUSA300_1842,H5,7,_,7_H5
NR-47209,NE666,2,O12,moaA,molybdenum cofactor biosynthesis protein A,SAUSA300_2219,H6,7,_,7_H6
NR-47210,NE667,2,O14,hsdR,"type I restriction-modification enzyme, R   subunit",SAUSA300_0196,H7,7,_,7_H7
NR-47211,NE668,2,O16,,putative membrane protein,SAUSA300_2274,H8,7,_,7_H8
NR-47212,NE669,2,O18,Cap5O,capsular polysaccharide biosynthesis protein Cap5O,SAUSA300_0166,H9,7,_,7_H9
NR-47213,NE670,2,O20,,conserved hypothetical protein,SAUSA300_0874,H10,7,_,7_H10
NR-47214,NE671,2,O22,,conserved hypothetical protein,SAUSA300_2310,H11,7,_,7_H11
NR-47215,NE672,2,O24,,homoserine kinase,SAUSA300_1228,H12,7,_,7_H12
,,,,,,,Plate 8,,_,_Plate 8
NR-47216,NE673,2,B2,,conserved hypothetical protein,SAUSA300_0872,A1,8,_,8_A1
NR-47217,NE674,2,B4,,conserved hypothetical protein,SAUSA300_1056,A2,8,_,8_A2
NR-47218,NE675,2,B6,sirB,"iron compound ABC transporter, permease protein SirB",SAUSA300_0116,A3,8,_,8_A3
NR-47219,NE676,2,B8,,"acetyltransferase, GNAT family",SAUSA300_2468,A4,8,_,8_A4
NR-47220,NE677,2,B10,bccT,"choline/carnitine/betaine transporter, BCCT family",SAUSA300_2549,A5,8,_,8_A5
NR-47221,NE678,2,B12,plc,1-phosphatidylinositol phosphodiesterase,SAUSA300_0099,A6,8,_,8_A6
NR-47222,NE679,2,B14,pbp4,penicillin-binding protein 4,SAUSA300_0629,A7,8,_,8_A7
NR-47223,NE680,2,B16,,conserved hypothetical protein,SAUSA300_0915,A8,8,_,8_A8
NR-47224,NE681,2,B18,kdpB,"K+-transporting ATPase, B subunit",SAUSA300_2033,A9,8,_,8_A9
NR-47225,NE682,2,B20,,conserved hypothetical protein,SAUSA300_0668,A10,8,_,8_A10
NR-47226,NE683,2,B22,oppB,"oligopeptide ABC transporter, permease protein",SAUSA300_0895,A11,8,_,8_A11
NR-47227,NE684,2,B24,,conserved hypothetical protein,SAUSA300_1081,A12,8,_,8_A12
NR-47228,NE685,2,D2,,conserved hypothetical protein,SAUSA300_0047,B1,8,_,8_B1
NR-47229,NE686,2,D4,,putative membrane protein,SAUSA300_1998,B2,8,_,8_B2
NR-47230,NE687,2,D6,,phage terminase family protein,SAUSA300_1981,B3,8,_,8_B3
NR-47231,NE688,2,D8,,conserved hypothetical protein,SAUSA300_2086,B4,8,_,8_B4
NR-47232,NE689,2,D10,,conserved hypothetical protein,SAUSA300_0655,B5,8,_,8_B5
NR-47233,NE690,2,D12,,"transcriptional regulator, MerR family",SAUSA300_2445,B6,8,_,8_B6
NR-47234,NE691,2,D14,,monooxygenase family protein,SAUSA300_2255,B7,8,_,8_B7
NR-47235,NE692,2,D16,,conserved hypothetical protein,SAUSA300_1903,B8,8,_,8_B8
NR-47236,NE693,2,D18,mobB,molybdopterin-guanine dinucleotide biosynthesis protein B,SAUSA300_2223,B9,8,_,8_B9
NR-47237,NE694,2,D20,,putative acetoacetyl-CoA reductase,SAUSA300_1173,B10,8,_,8_B10
NR-47238,NE695,2,D22,,"transcriptional antiterminator, BglG family",SAUSA300_0333,B11,8,_,8_B11
NR-47239,NE696,2,D24,,putative phosphoglycerate mutase family protein,SAUSA300_0375,B12,8,_,8_B12
NR-47240,NE697,2,F2,cysM,cysteine synthase/cystathionine beta-synthase,SAUSA300_0433,C1,8,_,8_C1
NR-47241,NE698,2,F4,,conserved hypothetical protein,SAUSA300_1483,C2,8,_,8_C2
NR-47242,NE699,2,F6,clpC,endopeptidase,SAUSA300_0510,C3,8,_,8_C3
NR-47243,NE700,2,F8,,conserved hypothetical protein,SAUSA300_0664,C4,8,_,8_C4
NR-47244,NE701,2,F10,,type III leader peptidase family protein,SAUSA300_1609,C5,8,_,8_C5
NR-47245,NE702,2,F12,hisB,imidazole glycerol phosphate dehydratase hisB,SAUSA300_2609,C6,8,_,8_C6
NR-47246,NE703,2,F14,,conserved hypothetical protein,SAUSA300_1750,C7,8,_,8_C7
NR-47247,NE704,2,F16,,L-ribulokinase,SAUSA300_0537,C8,8,_,8_C8
NR-47248,NE705,2,F18,,phage portal protein,SAUSA300_1940,C9,8,_,8_C9
NR-47249,NE706,2,F20,fhs,formate-tetrahydrofolate ligase,SAUSA300_1678,C10,8,_,8_C10
NR-47250,NE707,2,F22,,putative lipoprotein,SAUSA300_1379,C11,8,_,8_C11
NR-47251,NE708,2,F24,,"phi77 ORF003-like protein, phage terminase,large subunit",SAUSA300_1941,C12,8,_,8_C12
NR-47252,NE709,2,H2,,"IS1181, transposase",SAUSA300_1810,D1,8,_,8_D1
NR-47253,NE710,2,H4,,thermonuclease precursor,SAUSA300_0776,D2,8,_,8_D2
NR-47254,NE711,2,H6,,conserved hypothetical protein,SAUSA300_1652,D3,8,_,8_D3
NR-47255,NE712,2,H8,,conserved hypothetical protein,SAUSA300_1551,D4,8,_,8_D4
NR-47256,NE713,2,H10,,putative transcriptional regulator,SAUSA300_0577,D5,8,_,8_D5
NR-47257,NE714,2,H12,mtnN,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,SAUSA300_1558,D6,8,_,8_D6
NR-47258,NE715,2,H14,,conserved hypothetical protein,SAUSA300_2348,D7,8,_,8_D7
NR-47259,NE716,2,H16,,putative membrane protein,SAUSA300_1637,D8,8,_,8_D8
NR-47260,NE717,2,H18,,putative lipoprotein,SAUSA300_1376,D9,8,_,8_D9
NR-47261,NE718,2,H20,ilvD,dihydroxy-acid dehydratase,SAUSA300_2006,D10,8,_,8_D10
NR-47262,NE719,2,H22,corA,magnesium and cobalt transport protein,SAUSA300_2293,D11,8,_,8_D11
NR-47263,NE720,2,H24,,conserved hypothetical protein,SAUSA300_1663,D12,8,_,8_D12
NR-47264,NE721,2,J2,,lytic regulatory protein,SAUSA300_2100,E1,8,_,8_E1
NR-47265,NE722,2,J4,,phiSLT ORF488-like protein,SAUSA300_1388,E2,8,_,8_E2
NR-47266,NE723,2,J6,fur,ferric uptake regulation protein,SAUSA300_1514,E3,8,_,8_E3
NR-47267,NE724,2,J8,,"iron compound ABC transporter, permease protein",SAUSA300_0719,E4,8,_,8_E4
NR-47268,NE725,2,J10,,putative lipoprotein,SAUSA300_0377,E5,8,_,8_E5
NR-47269,NE726,2,J12,arsC,arsenate reductase,SAUSA300_1719,E6,8,_,8_E6
NR-47270,NE727,2,J14,,"hydrolase, haloacid dehalogenase-like family",SAUSA300_2464,E7,8,_,8_E7
NR-47271,NE728,2,J16,fnbB,fibronectin binding protein B,SAUSA300_2440,E8,8,_,8_E8
NR-47272,NE729,2,J18,,"pseudouridine synthase, family 1",SAUSA300_1699,E9,8,_,8_E9
NR-47273,NE730,2,J20,,"acetyltransferase, GNAT family family",SAUSA300_0943,E10,8,_,8_E10
NR-47274,NE731,2,J22,,putative membrane protein,SAUSA300_0622,E11,8,_,8_E11
NR-47275,NE732,2,J24,qoxB,"quinol oxidase, subunit I",SAUSA300_0962,E12,8,_,8_E12
NR-47276,NE733,2,L2,,conserved hypothetical protein,SAUSA300_0274,F1,8,_,8_F1
NR-47277,NE734,2,L4,,ferric hydroxamate receptor,SAUSA300_1978,F2,8,_,8_F2
NR-47278,NE735,2,L6,,conserved hypothetical protein,SAUSA300_1006,F3,8,_,8_F3
NR-47279,NE736,2,L8,mgtE,magnesium transporter,SAUSA300_0910,F4,8,_,8_F4
NR-47280,NE737,2,L10,,ABC transporter permease protein,SAUSA300_0797,F5,8,_,8_F5
NR-47281,NE738,2,L12,,conserved hypothetical protein,SAUSA300_2209,F6,8,_,8_F6
NR-47282,NE739,2,L14,Cap5N,capsular polysaccharide biosynthesis protein Cap5N,SAUSA300_0165,F7,8,_,8_F7
NR-47283,NE740,2,L16,truB,tRNA pseudouridine synthase B,SAUSA300_1164,F8,8,_,8_F8
NR-47284,NE741,2,L18,,"oligopeptide ABC transporter, ATP-binding protein",SAUSA300_0894,F9,8,_,8_F9
NR-47285,NE742,2,L20,scrR,sucrose operon repressor,SAUSA300_1995,F10,8,_,8_F10
NR-47286,NE743,2,L22,,integral membrane protein LmrP,SAUSA300_0180,F11,8,_,8_F11
NR-47287,NE744,2,L24,purK,"phosphoribosylaminoimidazole carboxylase, ATPase subunit",SAUSA300_0967,F12,8,_,8_F12
NR-47288,NE745,2,N2,,conserved hypothetical protein,SAUSA300_2140,G1,8,_,8_G1
NR-47289,NE746,2,N4,,conserved hypothetical protein,SAUSA300_1734,G2,8,_,8_G2
NR-47290,NE747,2,N6,,conserved hypothetical protein,SAUSA300_0177,G3,8,_,8_G3
NR-47291,NE748,2,N8,,phiSLT ORF 104b-like protein,SAUSA300_1406,G4,8,_,8_G4
NR-47292,NE749,2,N10,,putative drug transporter,SAUSA300_0121,G5,8,_,8_G5
NR-47293,NE750,2,N12,purD,phosphoribosylamine--glycine ligase,SAUSA300_0976,G6,8,_,8_G6
NR-47294,NE751,2,N14,,conserved hypothetical protein,SAUSA300_1693,G7,8,_,8_G7
NR-47295,NE752,2,N16,,putative membrane protein,SAUSA300_2287,G8,8,_,8_G8
NR-47296,NE753,2,N18,,staphylococcal tandem lipoprotein,SAUSA300_0100,G9,8,_,8_G9
NR-47297,NE754,2,N20,pyc,pyruvate carboxylase,SAUSA300_1014,G10,8,_,8_G10
NR-47298,NE755,2,N22,,"transcriptional regulator, GntR family",SAUSA300_1170,G11,8,_,8_G11
NR-47299,NE756,2,N24,,"ABC transporter, ATP-binding protein",SAUSA300_0352,G12,8,_,8_G12
NR-47300,NE757,2,P2,,"antigen, 67 kDa",SAUSA300_0108,H1,8,_,8_H1
NR-47301,NE758,2,P4,,putative transport protein SgaT,SAUSA300_0330,H2,8,_,8_H2
NR-47302,NE759,2,P6,glk,glucokinase,SAUSA300_1507,H3,8,_,8_H3
NR-47303,NE760,2,P8,,putative competence protein,SAUSA300_0900,H4,8,_,8_H4
NR-47304,NE761,2,P10,nth,endonuclease III,SAUSA300_1343,H5,8,_,8_H5
NR-47305,NE762,2,P12,,putative membrane protein,SAUSA300_2262,H6,8,_,8_H6
NR-47306,NE763,2,P14,,conserved hypothetical protein,SAUSA300_0339,H7,8,_,8_H7
NR-47307,NE764,2,P16,,phiSLT ORF78-like protein,SAUSA300_1432,H8,8,_,8_H8
NR-47308,NE765,2,P18,,conserved hypothetical protein,SAUSA300_2320,H9,8,_,8_H9
NR-47309,NE766,2,P20,icaC,intercellular adhesion protein C,SAUSA300_2602,H10,8,_,8_H10
NR-47310,NE767,2,P22,,"PTS system, sucrose-specific IIBC component",SAUSA300_2324,H11,8,_,8_H11
NR-47311,NE768,2,P24,fruA,fructose specific permease,SAUSA300_0685,H12,8,_,8_H12
,,,,,,,Plate 9,,_,_Plate 9
NR-47312,NE769,3,A1,ctaA,cytochrome oxidase assembly protein,SAUSA300_1015,A1,9,_,9_A1
NR-47313,NE770,3,A3,-,ABC transporter ATP-binding protein,SAUSA300_0704,A2,9,_,9_A2
NR-47314,NE771,3,A5,-,putative transporter protein,SAUSA300_2379,A3,9,_,9_A3
NR-47315,NE772,3,A7,-,ParB-like partition protein,SAUSA300_0361,A4,9,_,9_A4
NR-47316,NE773,3,A9,-,drug transporter,SAUSA300_2451,A5,9,_,9_A5
NR-47317,NE774,3,A11,cap1C,capsular polysaccharide biosynthesis protein Cap1C,SAUSA300_2596,A6,9,_,9_A6
NR-47318,NE775,3,A13,-,ABC transporter permease,SAUSA300_2634,A7,9,_,9_A7
NR-47319,NE776,3,A15,-,hypothetical protein,SAUSA300_1565,A8,9,_,9_A8
NR-47320,NE777,3,A17,bioD,dethiobiotin synthase,SAUSA300_2373,A9,9,_,9_A9
NR-47321,NE778,3,A19,glpQ,glycerophosphoryl diester phosphodiesterase,SAUSA300_0862,A10,9,_,9_A10
NR-47322,NE779,3,A21,-,hypothetical protein,SAUSA300_1254,A11,9,_,9_A11
NR-47323,NE780,3,A23,-,putative competence protein,SAUSA300_0901,A12,9,_,9_A12
NR-47324,NE781,3,C1,-,"multidrug resistance protein B, drug resistance transporter",SAUSA300_2298,B1,9,_,9_B1
NR-47325,NE782,3,C3,opuCb,glycine betaine/carnitine/choline ABC transporter,SAUSA300_2392,B2,9,_,9_B2
NR-47326,NE783,3,C5,-,virulence-associated protein E,SAUSA300_1410,B3,9,_,9_B3
NR-47327,NE784,3,C7,panE,2-dehydropantoate 2-reductase,SAUSA300_2535,B4,9,_,9_B4
NR-47328,NE785,3,C9,-,putative pyridine nucleotide-disulfide oxidoreductase,SAUSA300_0576,B5,9,_,9_B5
NR-47329,NE786,3,C11,-,MerR family transcriptional regulator,SAUSA300_2160,B6,9,_,9_B6
NR-47330,NE787,3,C13,-,hypothetical protein,SAUSA300_0198,B7,9,_,9_B7
NR-47331,NE788,3,C15,trkA,potassium uptake protein,SAUSA300_0988,B8,9,_,9_B8
NR-47332,NE789,3,C17,-,putative 5'-3' exonuclease,SAUSA300_1332,B9,9,_,9_B9
NR-47333,NE790,3,C19,vga,ABC transporter ATP-binding protein,SAUSA300_2000,B10,9,_,9_B10
NR-47334,NE791,3,C21,-,hypothetical protein,SAUSA300_0098,B11,9,_,9_B11
