ID,Strain Name,Sanger Exact,Location,Locus Tag,Gene Abbrev.,Putative ORF Function
4715,PW2403,+,phoAwp06q3H05,PA2829,,hypothetical protein
4716,PW5741,+,lacZbp01q2D08,PA2830,htpX,heat shock protein HtpX
4717,PW5742,+,phoAwp09q1H02,PA2830,htpX,heat shock protein HtpX
4718,PW5744,+,phoAwp02q1B11,PA2831,,conserved hypothetical protein
4719,PW5743,+,lacZbp01q3C10,PA2831,,conserved hypothetical protein
4720,PW5745,+,phoAwp03q4G10,PA2832,tpm,thiopurine methyltransferase
4721,PW5746,+,phoAwp08q2G01,PA2832,tpm,thiopurine methyltransferase
4722,PW5747,,phoAwp07q4F09,PA2833,,conserved hypothetical protein
4723,PW5749,+,lacZwp01q2E04,PA2834,,probable transcriptional regulator
4724,PW5748,+,lacZbp03q1D05,PA2834,,probable transcriptional regulator
4725,PW5751,+,lacZwp06q1H04,PA2835,,probable major facilitator superfamily (MFS) transporter
4726,PW5750,+,lacZbp01q1D10,PA2835,,probable major facilitator superfamily (MFS) transporter
4727,PW5752,+,lacZwp06q4C05,PA2836,,probable secretion protein
4728,PW5753,+,phoAwp08q3C03,PA2836,,probable secretion protein
4729,PW5754,+,lacZwp02q3H02,PA2837,,probable outer membrane protein precursor
4730,PW5756,+,phoAwp06q4G10,PA2838,,probable transcriptional regulator
4731,PW5757,+,phoAwp08q4E07,PA2838,,probable transcriptional regulator
4732,PW5759,+,phoAwp08q2E11,PA2839,,conserved hypothetical protein
4733,PW5758,+,lacZwp06q4E09,PA2839,,conserved hypothetical protein
4734,PW5761,+,phoAbp02q2D08,PA2840,,probable ATP-dependent RNA helicase
4735,PW5760,+,lacZwp03q2C08,PA2840,,probable ATP-dependent RNA helicase
4736,PW5762,+,Supplemental_Plate4D08,PA2840,,probable ATP-dependent RNA helicase
4737,PW5764,+,phoAwp06q4E10,PA2841,,probable enoyl-CoA hydratase/isomerase
4738,PW5763,+,lacZwp02q4E01,PA2841,,probable enoyl-CoA hydratase/isomerase
4739,PW5766,+,phoAwp08q3G11,PA2842,,hypothetical protein
4740,PW5765,+,lacZwp05q3B02,PA2842,,hypothetical protein
4741,PW5767,+,lacZwp02q4E02,PA2843,,probable aldolase
4742,PW5768,+,lacZwp07q4C12,PA2843,,probable aldolase
4743,PW5769,+,phoAwp02q1G12,PA2844,,conserved hypothetical protein
4744,PW5770,+,phoAwp07q2B08,PA2844,,conserved hypothetical protein
4745,PW5772,+,phoAwp04q3H04,PA2845,,hypothetical protein
4746,PW5771,+,lacZwp08q4D04,PA2845,,hypothetical protein
4747,PW5774,+,phoAwp06q2A03,PA2846,,probable transcriptional regulator
4748,PW5773,+,lacZbp03q2D08,PA2846,,probable transcriptional regulator
4749,PW10036,+,lacZbp02q2E03,PA2846,,probable transcriptional regulator
4750,PW6673,+,lacZbp02q2B06,PA2846,,probable transcriptional regulator
4751,PW5775,+,lacZwp02q3C10,PA2847,,conserved hypothetical protein
4752,PW5776,+,lacZwp08q1E03,PA2847,,conserved hypothetical protein
4753,PW5778,+,phoAwp06q4H09,PA2848,,probable transcriptional regulator
4754,PW5777,+,lacZwp03q3A06,PA2848,,probable transcriptional regulator
4755,PW5779,+,Supplemental_Plate3E06,PA2848,,probable transcriptional regulator
4756,PW5780,+,lacZwp02q1C12,PA2849,,probable transcriptional regulator
4757,PW5781,+,lacZwp03q3E03,PA2849,,probable transcriptional regulator
4758,PW5782,+,Supplemental_Plate3C04,PA2849,,probable transcriptional regulator
4759,PW5783,,lacZwp02q4G09,PA2850,ohr,organic hydroperoxide resistance protein
4760,PW5785,+,phoAwp01q3D09,PA2851,efp,translation elongation factor P
4761,PW5786,+,phoAwp05q3C08,PA2851,efp,translation elongation factor P
4762,PW5787,+,phoAwp04q2E12,PA2852,,hypothetical protein
4763,PW5789,+,phoAbp01q4H02,PA2853,oprI,Outer membrane lipoprotein OprI precursor
4764,PW5788,+,phoAbp01q3C01,PA2853,oprI,Outer membrane lipoprotein OprI precursor
4765,PW5790,+,phoAbp01q4E07,PA2854,,conserved hypothetical protein
4766,PW5791,+,phoAbp03q2G08,PA2854,,conserved hypothetical protein
4767,PW5792,+,lacZwp03q1B06,PA2856,tesA,acyl-CoA thioesterase I precursor
4768,PW5794,+,Supplemental_Plate2B06,PA2856,tesA,acyl-CoA thioesterase I precursor
4769,PW5793,+,phoAwp04q2B03,PA2856,tesA,acyl-CoA thioesterase I precursor
4770,PW5795,+,lacZwp02q1C04,PA2857,,probable ATP-binding component of ABC transporter
4771,PW5796,+,phoAbp01q2A08,PA2858,,conserved hypothetical protein
4772,PW5797,+,phoAbp01q3D06,PA2858,,conserved hypothetical protein
4773,PW5798,+,phoAwp03q2D09,PA2859,greB,transcription elongation factor GreB
4774,PW5799,+,phoAwp10q2F01,PA2859,greB,transcription elongation factor GreB
4775,PW5800,,lacZwp06q4E05,PA2860,,hypothetical protein
4776,PW5802,+,lacZwp08q1G06,PA2861,ligT,2'-5' RNA ligase
4777,PW5801,+,lacZwp06q1G01,PA2861,ligT,2'-5' RNA ligase
4778,PW5803,+,lacZwp08q3A05,PA2862,lipA,lactonizing lipase precursor
4779,PW5805,+,phoAwp08q3C01,PA2863,lipH,lipase modulator protein
4780,PW5806,+,Supplemental_Plate4F01,PA2863,lipH,lipase modulator protein
4781,PW5808,+,phoAbp01q4G01,PA2864,,conserved hypothetical protein
4782,PW5807,+,phoAbp01q2C12,PA2864,,conserved hypothetical protein
4783,PW5809,+,lacZwp04q4D08,PA2865,,probable glycosylase
4784,PW5811,+,phoAwp06q3G05,PA2866,mttC,secretion protein MttC
4785,PW5810,+,lacZwp06q4D05,PA2866,mttC,secretion protein MttC
4786,PW5812,+,lacZwp03q4D09,PA2867,,probable chemotaxis transducer
4787,PW5813,+,lacZwp08q3B10,PA2867,,probable chemotaxis transducer
4788,PW5815,+,phoAwp08q1D07,PA2868,,hypothetical protein
4789,PW5814,+,lacZwp09q2A05,PA2868,,hypothetical protein
4790,PW5817,+,phoAwp02q1F09,PA2869,,hypothetical protein
4791,PW5816,,lacZwp02q4D03,PA2869,,hypothetical protein
4792,PW5818,+,lacZwp08q3B06,PA2870,,hypothetical protein
4793,PW5819,+,phoAwp06q4F01,PA2870,,hypothetical protein
4794,PW5820,+,lacZwp05q3A07,PA2871,,hypothetical protein
4795,PW5821,+,phoAwp01q3C04,PA2871,,hypothetical protein
4796,PW5822,+,phoAwp02q2D04,PA2872,,hypothetical protein
4797,PW5823,+,phoAwp09q1D02,PA2872,,hypothetical protein
4798,PW5824,+,phoAbp02q3F10,PA2873,,hypothetical protein
4799,PW5825,+,phoAwp07q2D04,PA2873,,hypothetical protein
4800,PW5827,,lacZwp08q4G01,PA2874,,hypothetical protein
4801,PW5829,+,lacZwp09q4D03,PA2875,,conserved hypothetical protein
4802,PW5828,+,lacZwp07q2D09,PA2875,,conserved hypothetical protein
4803,PW5831,+,phoAwp03q3C06,PA2877,,probable transcriptional regulator
4804,PW5830,+,lacZwp02q1D11,PA2877,,probable transcriptional regulator
4805,PW5833,+,phoAwp05q1F05,PA2878,,hypothetical protein
4806,PW5832,,lacZwp04q3H01,PA2878,,hypothetical protein
4807,PW5834,+,phoAwp01q2F08,PA2879,,probable transcriptional regulator
4808,PW5835,+,phoAwp02q1G07,PA2879,,probable transcriptional regulator
4809,PW5838,,phoAwp06q4D08,PA2881,,probable two-component response regulator
4810,PW5837,,lacZwp02q1A01,PA2881,,probable two-component response regulator
4811,PW5839,+,phoAwp01q3D02,PA2882,,probable two-component sensor
4812,PW5840,+,phoAwp09q4E09,PA2882,,probable two-component sensor
4813,PW5841,,lacZbp01q2H02,PA2883,,hypothetical protein
4814,PW5843,+,phoAwp07q1D02,PA2884,,hypothetical protein
4815,PW5842,+,phoAwp05q1H08,PA2884,,hypothetical protein
4816,PW5844,+,lacZwp08q4E10,PA2885,atuR,putative repressor of atu genes
4817,PW5845,+,lacZwp09q4H10,PA2885,atuR,putative repressor of atu genes
4818,PW5847,+,lacZwp06q3H10,PA2886,atuA,expressed protein with apparent function in citronellol catabolism
4819,PW5846,+,lacZbp03q2C08,PA2886,atuA,expressed protein with apparent function in citronellol catabolism
4820,PW5848,,lacZwp04q3C04,PA2887,atuB,putative dehydrogenase involved in catabolism of citronellol
4821,PW5850,+,phoAwp05q3H06,PA2888,atuC,"geranyl-CoA carboxylase, beta-subunit"
4822,PW5849,+,lacZwp04q1A08,PA2888,atuC,"geranyl-CoA carboxylase, beta-subunit"
4823,PW5852,,Supplemental_Plate3D07,PA2889,atuD,putative citronellyl-CoA dehydrogenase involved in catabolism of citronellol
4824,PW5851,+,lacZwp06q2F10,PA2889,atuD,putative citronellyl-CoA dehydrogenase involved in catabolism of citronellol
4825,PW5854,+,phoAwp05q3C06,PA2890,atuE,putative isohexenylglutaconyl-CoA hydratase
4826,PW5853,+,lacZwp02q4D10,PA2890,atuE,putative isohexenylglutaconyl-CoA hydratase
4827,PW5855,+,phoAwp05q3G07,PA2891,atuF,"geranyl-CoA carboxylase, alpha-subunit (biotin-containing)"
4828,PW5856,+,phoAwp07q3G06,PA2891,atuF,"geranyl-CoA carboxylase, alpha-subunit (biotin-containing)"
4829,PW5858,+,lacZwp09q1H04,PA2892,atuG,"GCase, alpha-subunit (biotin-containing)"
4830,PW5857,+,lacZwp04q1C10,PA2892,atuG,"GCase, alpha-subunit (biotin-containing)"
4831,PW5860,+,phoAwp03q2G10,PA2893,atuH,putative very-long chain acyl-CoA synthetase
4832,PW5859,+,lacZwp03q4F02,PA2893,atuH,putative very-long chain acyl-CoA synthetase
4833,PW5861,+,lacZwp09q2H11,PA2894,,hypothetical protein
4834,PW5863,+,phoAwp07q4H01,PA2895,,hypothetical protein
4835,PW5862,+,lacZwp04q2C06,PA2895,,hypothetical protein
4836,PW5864,+,lacZwp02q2E07,PA2896,,"probable sigma-70 factor, ECF subfamily"
4837,PW5865,+,Supplemental_Plate4G07,PA2896,,"probable sigma-70 factor, ECF subfamily"
4838,PW5866,+,lacZbp03q2G07,PA2897,,probable transcriptional regulator
4839,PW5867,+,lacZbp03q4D03,PA2897,,probable transcriptional regulator
4840,PW5868,+,lacZwp09q2D03,PA2898,,hypothetical protein
4841,PW5869,,Supplemental_Plate4A02,PA2898,,hypothetical protein
4842,PW5871,+,phoAwp04q3E03,PA2899,,probable transcriptional regulator
4843,PW5870,+,lacZwp07q2D08,PA2899,,probable transcriptional regulator
4844,PW5873,+,phoAbp01q4D05,PA2900,,probable outer membrane protein precursor
4845,PW5874,+,lacZwp05q1H09,PA2901,,hypothetical protein
4846,PW5875,,phoAbp01q2H12,PA2901,,hypothetical protein
4847,PW5876,+,phoAbp02q2H12,PA2901,,hypothetical protein
4848,PW5877,+,phoAbp03q3D02,PA2902,,hypothetical protein
4849,PW5879,+,phoAwp04q3H11,PA2903,cobJ,precorrin-3 methylase CobJ
4850,PW5878,+,phoAwp04q1G08,PA2903,cobJ,precorrin-3 methylase CobJ
4851,PW5881,+,lacZwp09q3D02,PA2903,cobJ,precorrin-3 methylase CobJ
4852,PW5880,+,lacZwp02q3B12,PA2904,cobI,precorrin-2 methyltransferase CobI
4853,PW5882,+,lacZwp05q1A12,PA2905,cobH,precorrin isomerase CobH
4854,PW5884,+,phoAwp01q2B05,PA2906,,probable oxidoreductase
4855,PW4806,+,lacZwp07q2E08,PA2906,,probable oxidoreductase
4856,PW5883,+,lacZwp02q2E02,PA2906,,probable oxidoreductase
4857,PW5886,+,phoAwp08q1C08,PA2907,cobL,precorrin-6y-dependent methyltransferase CobL
4858,PW5885,+,phoAwp02q2G02,PA2907,cobL,precorrin-6y-dependent methyltransferase CobL
4859,PW5887,+,lacZbp02q3C12,PA2908,cbiD,cobalamin biosynthetic protein CbiD
4860,PW7254,+,lacZbp02q3D12,PA2908,cbiD,cobalamin biosynthetic protein CbiD
4861,PW5888,+,phoAwp03q1E02,PA2908,cbiD,cobalamin biosynthetic protein CbiD
4862,PW5889,+,phoAwp06q3F04,PA2909,,hypothetical protein
4863,PW5891,+,lacZwp07q3A06,PA2910,,conserved hypothetical protein
4864,PW3828,,lacZwp07q3A01,PA2910,,conserved hypothetical protein
4865,PW5893,+,lacZwp03q2E11,PA2911,,probable TonB-dependent receptor
4866,PW5894,+,phoAwp07q3D01,PA2911,,probable TonB-dependent receptor
4867,PW5892,+,lacZwp01q4F10,PA2911,,probable TonB-dependent receptor
4868,PW5896,+,lacZwp05q2H11,PA2912,,probable ATP-binding component of ABC transporter
4869,PW7806,+,lacZwp05q4H11,PA2912,,probable ATP-binding component of ABC transporter
4870,PW5895,+,lacZwp05q1A07,PA2912,,probable ATP-binding component of ABC transporter
4871,PW5897,+,phoAwp03q2E06,PA2913,,hypothetical protein
4872,PW8773,+,phoAwp01q2C06,PA2913,,hypothetical protein
4873,PW5900,+,phoAwp07q2C08,PA2914,,probable permease of ABC transporter
4874,PW5899,+,lacZwp07q4D12,PA2914,,probable permease of ABC transporter
4875,PW5901,+,lacZbp02q1A02,PA2915,,hypothetical protein
4876,PW5902,+,phoAwp08q2D09,PA2915,,hypothetical protein
4877,PW5903,,phoAbp03q2B07,PA2916,,hypothetical protein
4878,PW5904,+,phoAwp10q3F01,PA2916,,hypothetical protein
4879,PW5905,+,lacZwp02q4A04,PA2918,,probable short-chain dehydrogenase
4880,PW5906,+,lacZwp04q3H02,PA2918,,probable short-chain dehydrogenase
4881,PW5907,+,lacZbp03q3A05,PA2920,,probable chemotaxis transducer
4882,PW5908,+,lacZwp07q3A02,PA2920,,probable chemotaxis transducer
4883,PW5909,+,lacZwp06q1D08,PA2921,,probable transcriptional regulator
4884,PW5911,+,phoAwp08q1D02,PA2922,,probable hydrolase
4885,PW5910,+,phoAwp05q4B07,PA2922,,probable hydrolase
4886,PW5913,+,Supplemental_Plate4C02,PA2923,hisJ,periplasmic histidine-binding protein HisJ
4887,PW5912,+,phoAwp01q2C05,PA2923,hisJ,periplasmic histidine-binding protein HisJ
4888,PW5914,+,lacZwp01q1B07,PA2924,hisQ,histidine transport system permease HisQ
4889,PW5915,+,lacZwp06q4G08,PA2924,hisQ,histidine transport system permease HisQ
4890,PW5916,+,phoAwp01q2G11,PA2925,hisM,histidine transport system permease HisM
4891,PW5917,+,phoAwp05q1H10,PA2925,hisM,histidine transport system permease HisM
4892,PW5918,+,lacZwp09q4C02,PA2926,hisP,histidine transport protein HisP
4893,PW5919,+,phoAwp01q3C10,PA2926,hisP,histidine transport protein HisP
4894,PW5921,,lacZwp06q4B10,PA2927,,hypothetical protein
4895,PW5920,,lacZwp02q3E08,PA2927,,hypothetical protein
4896,PW5922,,lacZwp07q1G09,PA2928,,hypothetical protein
4897,PW5923,+,phoAwp08q4H01,PA2928,,hypothetical protein
4898,PW5924,+,lacZwp01q1D04,PA2929,,hypothetical protein
4899,PW5925,+,phoAwp08q2G09,PA2929,,hypothetical protein
4900,PW5926,+,phoAwp04q1F11,PA2930,,probable transcriptional regulator
4901,PW5927,+,lacZbp01q2D01,PA2931,cifR,CifR
4902,PW5928,+,phoAwp05q4D12,PA2931,cifR,CifR
4903,PW5930,+,lacZwp09q4C10,PA2932,morB,morphinone reductase
4904,PW5929,+,lacZwp09q2E10,PA2932,morB,morphinone reductase
4905,PW5932,+,phoAbp02q4E01,PA2933,,probable major facilitator superfamily (MFS) transporter
4906,PW5931,+,lacZwp08q4C06,PA2933,,probable major facilitator superfamily (MFS) transporter
4907,PW5934,+,lacZwp08q2G08,PA2934,cif,"CFTR inhibitory factor, Cif"
4908,PW5933,+,lacZwp02q2H05,PA2934,cif,"CFTR inhibitory factor, Cif"
4909,PW5935,+,phoAwp07q2C12,PA2935,,hypothetical protein
4910,PW5936,+,phoAwp07q2H12,PA2935,,hypothetical protein
4911,PW5937,,lacZwp03q2G07,PA2936,,hypothetical protein
4912,PW5938,+,lacZwp07q4F11,PA2936,,hypothetical protein
4913,PW5940,+,lacZwp09q1C12,PA2937,,hypothetical protein
4914,PW5939,+,lacZwp02q2C08,PA2937,,hypothetical protein
4915,PW5942,+,phoAwp08q3F09,PA2938,,probable transporter
4916,PW5941,,lacZwp04q4B10,PA2938,,probable transporter
4917,PW5943,+,phoAbp01q2A11,PA2939,,probable aminopeptidase
4918,PW6391,+,phoAwp01q4B07,PA2939,,probable aminopeptidase
4919,PW5944,+,phoAbp01q4F08,PA2939,,probable aminopeptidase
4920,PW5946,+,phoAwp05q1G12,PA2940,,probable acyl-CoA thiolase
4921,PW3534,+,phoAwp06q1C02,PA2940,,probable acyl-CoA thiolase
4922,PW5945,+,phoAwp05q1C02,PA2940,,probable acyl-CoA thiolase
4923,PW5947,+,lacZwp07q4A09,PA2941,,hypothetical protein
4924,PW5948,+,Supplemental_Plate3G04,PA2941,,hypothetical protein
4925,PW5950,+,lacZwp09q1F04,PA2942,,probable magnesium chelatase
4926,PW5949,+,lacZwp04q4H10,PA2942,,probable magnesium chelatase
4927,PW5951,+,phoAwp08q1D03,PA2943,,phospho-2-dehydro-3-deoxyheptonate aldolase
4928,PW5952,+,lacZbp01q3G08,PA2944,cobN,cobalamin biosynthetic protein CobN
4929,PW5953,+,lacZwp06q3B07,PA2944,cobN,cobalamin biosynthetic protein CobN
4930,PW5954,+,phoAwp01q2H02,PA2945,,conserved hypothetical protein
4931,PW5955,+,phoAwp05q3G11,PA2945,,conserved hypothetical protein
4932,PW5957,+,phoAwp04q4A06,PA2946,,hypothetical protein
4933,PW5956,+,phoAbp02q4C11,PA2946,,hypothetical protein
4934,PW5959,+,phoAwp01q4G04,PA2948,cobM,precorrin-3 methylase
4935,PW5958,+,lacZwp05q4F09,PA2948,cobM,precorrin-3 methylase
4936,PW5961,+,phoAwp08q3E03,PA2949,,probable lipase
4937,PW5960,+,lacZwp09q3B09,PA2949,,probable lipase
4938,PW5964,+,lacZwp08q1F04,PA2954,,hypothetical protein
4939,PW5965,+,lacZwp08q2A05,PA2954,,hypothetical protein
4940,PW5966,+,lacZwp07q4B10,PA2955,,hypothetical protein
4941,PW5967,+,phoAwp07q1A11,PA2955,,hypothetical protein
4942,PW5968,+,phoAwp02q4E07,PA2956,,conserved hypothetical protein
4943,PW5970,+,phoAwp10q1E04,PA2957,,probable transcriptional regulator
4944,PW5969,+,phoAwp06q2G01,PA2957,,probable transcriptional regulator
4945,PW5972,,phoAwp10q3E01,PA2958,,hypothetical protein
4946,PW5971,+,phoAwp06q4A06,PA2958,,hypothetical protein
4947,PW5974,+,phoAwp03q2F04,PA2959,,conserved hypothetical protein
4948,PW5973,+,phoAwp03q1C12,PA2959,,conserved hypothetical protein
4949,PW5975,+,lacZbp01q4H08,PA2961,holB,"DNA polymerase III, delta prime subunit"
4950,PW5976,+,lacZwp07q1C08,PA2961,holB,"DNA polymerase III, delta prime subunit"
4951,PW5978,,lacZwp07q2F01,PA2963,,conserved hypothetical protein
4952,PW5979,+,phoAbp01q3C02,PA2963,,conserved hypothetical protein
4953,PW5980,+,lacZwp01q4E06,PA2964,pabC,4-amino-4-deoxychorismate lyase
4954,PW5981,+,phoAwp02q2G01,PA2964,pabC,4-amino-4-deoxychorismate lyase
4955,PW5982,+,lacZwp06q4B03,PA2969,plsX,fatty acid biosynthesis protein PlsX
4956,PW5983,+,lacZwp09q1A01,PA2969,plsX,fatty acid biosynthesis protein PlsX
4957,PW5986,+,lacZwp06q2A07,PA2972,,conserved hypothetical protein
4958,PW5985,+,lacZwp01q4H04,PA2972,,conserved hypothetical protein
4959,PW5988,+,phoAwp05q1E04,PA2973,,probable peptidase
4960,PW5987,+,phoAbp03q1H06,PA2973,,probable peptidase
4961,PW5990,+,phoAwp04q3C02,PA2974,,probable hydrolase
4962,PW5989,+,lacZbp02q3G03,PA2974,,probable hydrolase
4963,PW5991,+,lacZwp08q1H11,PA2975,rluC,ribosomal large subunit pseudouridine synthase C
4964,PW5992,+,lacZwp09q4D01,PA2975,rluC,ribosomal large subunit pseudouridine synthase C
4965,PW5993,+,phoAwp03q4H05,PA2976,rne,ribonuclease E
4966,PW3266,+,phoAwp07q4B10,PA2976,rne,ribonuclease E
4967,PW5995,+,phoAbp02q3E12,PA2982,,conserved hypothetical protein
4968,PW5994,,lacZwp09q4H11,PA2982,,conserved hypothetical protein
4969,PW5997,+,phoAwp03q3H06,PA2983,,probable tolQ-type transport protein
4970,PW5996,+,phoAwp01q3H09,PA2983,,probable tolQ-type transport protein
4971,PW5999,+,lacZwp09q1D10,PA2984,,hypothetical protein
4972,PW5998,+,lacZwp06q2E10,PA2984,,hypothetical protein
4973,PW6001,,phoAwp01q3E02,PA2985,,hypothetical protein
4974,PW6000,+,phoAwp01q2B12,PA2985,,hypothetical protein
4975,PW6002,+,lacZwp06q1A06,PA2989,,hypothetical protein
4976,PW6003,+,lacZwp09q1G05,PA2989,,hypothetical protein
4977,PW6004,+,lacZbp03q1E03,PA2990,,probable phosphodiesterase
4978,PW6005,+,lacZwp04q1C11,PA2990,,probable phosphodiesterase
4979,PW6006,+,lacZwp02q1B10,PA2992,,hypothetical protein
4980,PW6007,+,phoAwp02q4A01,PA2992,,hypothetical protein
4981,PW6008,+,phoAbp03q1C10,PA2993,,conserved hypothetical protein
4982,PW6009,+,phoAwp08q1E03,PA2993,,conserved hypothetical protein
4983,PW6011,+,phoAwp05q2A01,PA2994,nqrF,"Na+-translocating NADH:quinone oxidoreductase, subunit Nqr6"
4984,PW9832,+,phoAwp05q2H12,PA2994,nqrF,"Na+-translocating NADH:quinone oxidoreductase, subunit Nqr6"
4985,PW6010,+,lacZwp08q1G08,PA2994,nqrF,"Na+-translocating NADH:quinone oxidoreductase, subunit Nqr6"
4986,PW6012,+,lacZwp07q1C02,PA2995,nqrE,Na+-translocating NADH:quinone oxidoreductase subunit Nqr5
4987,PW9003,,lacZwp07q1C01,PA2995,nqrE,Na+-translocating NADH:quinone oxidoreductase subunit Nqr5
4988,PW6013,+,phoAbp01q2D10,PA2995,nqrE,Na+-translocating NADH:quinone oxidoreductase subunit Nqr5
4989,PW6014,+,lacZwp05q3E02,PA2996,nqrD,Na+-translocating NADH:uniquinone oxidoreductase subunit Nqr4
4990,PW6015,+,phoAbp02q4E11,PA2996,nqrD,Na+-translocating NADH:uniquinone oxidoreductase subunit Nqr4
4991,PW6016,+,lacZwp08q2A04,PA2997,nqrC,Na+-translocating NADH:ubiquinone oxidoreductase subunit Nrq3
4992,PW6017,+,phoAbp02q4E12,PA2997,nqrC,Na+-translocating NADH:ubiquinone oxidoreductase subunit Nrq3
4993,PW6019,+,lacZbp03q2A08,PA2998,nqrB,Na+-translocating NADH:ubiquinone oxidoreductase subunit Nrq2
4994,PW6021,+,lacZwp06q2D10,PA2999,nqrA,Na+-translocating NADH:ubiquinone oxidoreductase subunit Nrq1
4995,PW6022,+,phoAbp01q4D12,PA3000,aroP1,aromatic amino acid transport protein AroP1
4996,PW6023,+,phoAbp01q4G03,PA3000,aroP1,aromatic amino acid transport protein AroP1
4997,PW6024,+,phoAbp03q3H03,PA3001,,probable glyceraldehyde-3-phosphate dehydrogenase
4998,PW6025,+,phoAwp05q1D05,PA3001,,probable glyceraldehyde-3-phosphate dehydrogenase
4999,PW6026,+,lacZwp03q1G02,PA3002,mfd,transcription-repair coupling protein Mfd
5000,PW6028,+,Supplemental_Plate2G02,PA3002,mfd,transcription-repair coupling protein Mfd
5001,PW6027,+,lacZwp06q3A04,PA3002,mfd,transcription-repair coupling protein Mfd
5002,PW6029,+,phoAbp01q4C01,PA3003,,hypothetical protein
5003,PW6030,+,phoAbp01q4C05,PA3003,,hypothetical protein
5004,PW6031,+,lacZbp01q4H03,PA3004,,5-methylthioadenosine phosphorylase MtnP
5005,PW6032,+,lacZwp03q4E10,PA3004,,5-methylthioadenosine phosphorylase MtnP
5006,PW6034,,lacZwp06q1B02,PA3005,nagZ,beta-N-acetyl-D-glucosaminidase
5007,PW6035,+,phoAbp01q4A04,PA3006,psrA,transcriptional regulator PsrA
5008,PW6036,+,phoAbp01q4C12,PA3006,psrA,transcriptional regulator PsrA
5009,PW6037,+,phoAbp02q4F07,PA3007,lexA,repressor protein LexA
5010,PW6038,+,lacZwp05q3D06,PA3008,,hypothetical protein
5011,PW6039,+,phoAwp09q2C11,PA3008,,hypothetical protein
5012,PW6040,+,lacZbp01q1A08,PA3009,,hypothetical protein
5013,PW6042,,lacZwp01q3H02,PA3010,,hypothetical protein
5014,PW6041,+,lacZbp02q4E11,PA3010,,hypothetical protein
5015,PW6043,+,lacZwp04q3E08,PA3011,topA,DNA topoisomerase I
5016,PW6044,+,lacZwp05q1B05,PA3012,,hypothetical protein
5017,PW6045,+,lacZbp01q4H09,PA3013,foaB,fatty-acid oxidation complex beta-subunit
5018,PW6046,+,lacZbp03q4E04,PA3013,foaB,fatty-acid oxidation complex beta-subunit
5019,PW6048,+,lacZbp02q1D08,PA3014,faoA,fatty-acid oxidation complex alpha-subunit
5020,PW6047,+,lacZbp01q3F03,PA3014,faoA,fatty-acid oxidation complex alpha-subunit
5021,PW6050,+,lacZwp09q2D12,PA3015,,hypothetical protein
5022,PW9735,+,lacZwp09q2E12,PA3015,,hypothetical protein
5023,PW6049,+,lacZwp06q1E09,PA3015,,hypothetical protein
5024,PW6051,,phoAwp01q1E04,PA3016,,hypothetical protein
5025,PW6052,,phoAwp01q3F02,PA3016,,hypothetical protein
5026,PW6053,+,phoAwp10q2C03,PA3017,,conserved hypothetical protein
5027,PW6054,+,lacZbp02q1E01,PA3018,,hypothetical protein
5028,PW6055,+,lacZwp06q4A07,PA3018,,hypothetical protein
5029,PW8743,,lacZbp02q3B04,PA3018,,hypothetical protein
5030,PW6056,+,lacZwp02q3A06,PA3019,,probable ATP-binding component of ABC transporter
5031,PW6057,+,lacZwp05q3D03,PA3019,,probable ATP-binding component of ABC transporter
5032,PW6058,+,lacZwp03q3A07,PA3020,,probable soluble lytic transglycosylase
5033,PW6059,+,phoAbp01q1C07,PA3020,,probable soluble lytic transglycosylase
5034,PW6060,+,phoAbp02q4E05,PA3020,,probable soluble lytic transglycosylase
5035,PW6061,+,phoAbp01q2A10,PA3021,,hypothetical protein
5036,PW6062,+,phoAbp02q4D07,PA3021,,hypothetical protein
5037,PW6064,+,phoAwp09q3C06,PA3022,,hypothetical protein
5038,PW6063,+,lacZwp06q2D11,PA3022,,hypothetical protein
5039,PW6065,+,phoAwp10q1G12,PA3023,,conserved hypothetical protein
5040,PW6068,+,phoAwp07q2E04,PA3024,,probable carbohydrate kinase
5041,PW6067,+,lacZwp07q2B05,PA3024,,probable carbohydrate kinase
5042,PW9823,,lacZwp03q2E10,PA3024,,probable carbohydrate kinase
5043,PW6066,+,lacZbp02q3A05,PA3024,,probable carbohydrate kinase
5044,PW3218,+,lacZwp02q1F06,PA3024,,probable carbohydrate kinase
5045,PW6069,+,lacZwp08q1A10,PA3025,,probable FAD-dependent glycerol-3-phosphate dehydrogenase
5046,PW6070,+,lacZwp08q2E01,PA3025,,probable FAD-dependent glycerol-3-phosphate dehydrogenase
5047,PW3876,+,phoAwp04q1H08,PA3026,,conserved hypothetical protein
5048,PW6071,+,phoAwp02q1H05,PA3026,,conserved hypothetical protein
5049,PW6072,+,phoAwp07q1E09,PA3026,,conserved hypothetical protein
5050,PW6073,+,lacZwp08q3F10,PA3027,,probable transcriptional regulator
5051,PW6074,+,phoAwp06q2F04,PA3027,,probable transcriptional regulator
5052,PW6076,+,lacZwp07q4D07,PA3028,moeA2,molybdenum cofactor biosynthesis protein A2
5053,PW6075,+,lacZwp02q3H06,PA3028,moeA2,molybdenum cofactor biosynthesis protein A2
5054,PW6077,+,phoAwp05q1G11,PA3029,moaB2,molybdopterin biosynthetic protein B2
5055,PW6078,+,phoAwp08q4D07,PA3029,moaB2,molybdopterin biosynthetic protein B2
