PA14 NR Set Plate (PO_PlateLabel96),PA14 NR Set Well (PO_PlateLocation96ADD),Parental Library Source Plate (WOR_PlateLabel),Parental Library Source Plate Well (WOR_PlateWellPosition),MutantID,PA14 Genomic Position,PA14 Genome BLASTN Bit Score,Unambiguous Insertion Location?,Locus Tag,"""Active"" GeneID","Tn insertion position within ""Active"" Gene (bp)","""Active"" Gene Length (bp)","PAO1 ortholog of ""Active"" gene","""Active"" Gene Name","""Active"" Gene Description","All predicted Gene Locus Names (Intragenic Position/Gene Length), ('*' indicates ""Active"" gene)",All Predicted GeneIDs,PAO1 Orthologs,PA14 NR Set Comments,library_position
PAMr_nr_mas_07_2,D5,PA14_MrT7_377wor,B8,36116,528077,585,Y,PA14_05960,GID5392,24,210,PA0456,,putative major cold shock protein,PA14_05960(24/210),GID5392,PA0456,,PAMr_nr_mas_07_2D5
PAMr_nr_mas_07_2,D6,PA14_MrT7_377wor,C2,36122,3577606,1021,Y,PA14_40130,GID4143,503,534,PA1885,,putative acetyltransferase,PA14_40130(503/534),GID4143,PA1885,,PAMr_nr_mas_07_2D6
PAMr_nr_mas_07_2,D7,PA14_MrT7_377wor,C3,36123,3417402,730,Y,PA14_38330,GID1086,109,1356,PA2025,gor,glutathione reductase,PA14_38330(109/1356),GID1086,PA2025,,PAMr_nr_mas_07_2D7
PAMr_nr_mas_07_2,D8,PA14_MrT7_377wor,C8,36128,1378317,902,Y,PA14_16180,GID388,1656,2067,PA3729,,conserved hypothetical protein,"PA14_16180(1656/2067), PA14_16170*(385/2058)","GID388, GID6421",PA3729,,PAMr_nr_mas_07_2D8
PAMr_nr_mas_07_2,D9,PA14_MrT7_377wor,C9,36129,1770958,878,Y,PA14_20580,GID1519,86,1158,PA3364,amiC,aliphatic amidase expression-regulating protein,PA14_20580(86/1158),GID1519,PA3364,,PAMr_nr_mas_07_2D9
PAMr_nr_mas_07_2,D10,PA14_MrT7_377wor,D8,36140,2560861,1144,Y,PA14_29520,GID4721,296,411,PA2674,,type II secretion system protein,PA14_29520(296/411),GID4721,PA2674,,PAMr_nr_mas_07_2D10
PAMr_nr_mas_07_2,D11,PA14_MrT7_377wor,E6,36150,1156570,900,Y,PA14_13430,GID187,250,2355,PA3901,fecA,Fe(III) dicitrate transport protein FecA,PA14_13430(250/2355),GID187,PA3901,,PAMr_nr_mas_07_2D11
PAMr_nr_mas_07_2,D12,PA14_MrT7_377wor,E7,36151,164422,979,Y,PA14_01790,GID4209,169,519,PA0145,,putative nucleoside 2-deoxyribosyltransferase,PA14_01790(169/519),GID4209,PA0145,,PAMr_nr_mas_07_2D12
PAMr_nr_mas_07_2,E1,PA14_MrT7_377wor,E8,36152,133962,999,Y,PA14_01400,GID4459,340,453,PA0115,,putative acyltransferase,PA14_01400(340/453),GID4459,PA0115,,PAMr_nr_mas_07_2E1
PAMr_nr_mas_07_2,E2,PA14_MrT7_377wor,E9,36153,6182448,1146,Y,PA14_69300,GID444,64,1902,PA5248,,putative iron permease protein,"PA14_69300(64/1902), PA14_69290*(1887/2025)","GID444, GID6895",PA5248,,PAMr_nr_mas_07_2E2
PAMr_nr_mas_07_2,E3,PA14_MrT7_377wor,E10,36154,2073511,498,Y,PA14_23840,GID2665,633,858,PA3114,truA,tRNA-pseudouridine synthase I,"PA14_23840(633/858), PA14_23820*(118/3567)","GID2665, GID6261",PA3114,,PAMr_nr_mas_07_2E3
PAMr_nr_mas_07_2,E4,PA14_MrT7_377wor,E11,36155,552223,948,Y,PA14_06250,GID4361,194,477,PA0478,,"putative acetyltransferase, GNAT family",PA14_06250(194/477),GID4361,PA0478,,PAMr_nr_mas_07_2E4
PAMr_nr_mas_07_2,E5,PA14_MrT7_377wor,F6,36162,5023400,1045,Y,PA14_56260,GID2292,407,927,PA4331,,putative ferredoxin reductase,"PA14_56260(407/927), PA14_56270*(1549/1731)","GID2292, GID6632",PA4331,,PAMr_nr_mas_07_2E5
PAMr_nr_mas_07_2,E6,PA14_MrT7_377wor,F11,36167,5993082,946,Y,PA14_67130,GID2531,152,900,PA5082,,putative binding protein component of ABC transporter,PA14_67130(152/900),GID2531,PA5082,,PAMr_nr_mas_07_2E6
PAMr_nr_mas_07_2,E7,PA14_MrT7_377wor,G3,36171,451311,803,Y,PA14_05180,GID2040,6,1035,PA0395,pilT,twitching motility protein PilT,"PA14_05180(6/1035), PA14_05170*(361/1440)","GID2040, GID7124",PA0395,,PAMr_nr_mas_07_2E7
PAMr_nr_mas_07_2,E8,PA14_MrT7_377wor,G4,36172,6432036,674,Y,PA14_72200,GID3889,445,615,PA5470,,putative peptide chain release factor,"PA14_72200(445/615), PA14_72190*(936/1407)","GID3889, GID6963",PA5470,,PAMr_nr_mas_07_2E8
PAMr_nr_mas_07_2,E9,PA14_MrT7_377wor,G9,36177,666647,969,Y,PA14_07770,GID88,2702,2775,PA0595,ostA,organic solvent tolerance protein OstA precursor,PA14_07770(2702/2775),GID88,PA0595,,PAMr_nr_mas_07_2E9
PAMr_nr_mas_07_2,E10,PA14_MrT7_377wor,H2,36182,2025290,932,Y,PA14_23330,GID612,1134,1680,PA3162,rpsA, 30S ribosomal protein S1,PA14_23330(1134/1680),GID612,PA3162,"Unknown source. This mutant was picked from well PA14_MrT7_377wor:H2, but resequencing of the transposon junction of a purified colony showed that it was identical to 33716.",PAMr_nr_mas_07_2E10
PAMr_nr_mas_07_2,E11,PA14_MrT7_378wor,B1,36205,2226126,739,Y,PA14_25470,GID4007,25,534,PA2985,,conserved hypothetical protein,PA14_25470(25/534),GID4007,PA2985,,PAMr_nr_mas_07_2E11
PAMr_nr_mas_07_2,E12,PA14_MrT7_378wor,B3,36207,6454483,1080,Y,PA14_72450,GID3639,6,636,PA5489,dsbA,thiol:disulfide interchange protein DsbA,"PA14_72450(6/636), PA14_72440*(1438/1632)","GID3639, GID6969",PA5489,,PAMr_nr_mas_07_2E12
PAMr_nr_mas_07_2,F1,PA14_MrT7_378wor,B4,36208,4626475,605,Y,PA14_52180,GID233,2030,2244,PA0934,relA,GTP pyrophosphokinase,"PA14_52180(2030/2244), PA14_52170*(236/2295)","GID233, GID5575",PA0934,,PAMr_nr_mas_07_2F1
PAMr_nr_mas_07_2,F2,PA14_MrT7_378wor,B9,36213,1710618,420,Y,PA14_19850,GID166,667,2484,PA3420,,putative transcriptional regulator,"PA14_19850(667/2484), PA14_19840*(1719/2457)","GID166, GID6340",PA3420,,PAMr_nr_mas_07_2F2
PAMr_nr_mas_07_2,F3,PA14_MrT7_378wor,C2,36218,4649921,313,Y,PA14_52400,GID428,1622,1905,PA0917,kup,potassium uptake protein Kup,"PA14_52400(1622/1905), PA14_52390*(299/2004)","GID428, GID5571",PA0917,,PAMr_nr_mas_07_2F3
PAMr_nr_mas_07_2,F4,PA14_MrT7_378wor,C9,36225,4833791,1249,Y,PA14_54520,GID1220,36,1284,PA0755,,probable porin,PA14_54520(36/1284),GID1220,PA0755,,PAMr_nr_mas_07_2F4
PAMr_nr_mas_07_2,F5,PA14_MrT7_378wor,C10,36226,662969,1051,Y,PA14_07700,GID2604,11,852,PA0590,apaH,bis(5'-nucleosyl)-tetraphosphatase,PA14_07700(11/852),GID2604,PA0590,,PAMr_nr_mas_07_2F5
PAMr_nr_mas_07_2,F6,PA14_MrT7_378wor,D6,36234,358659,1179,Y,PA14_03980,GID169,2177,2388,PA0305,,putative penicillin amidase,"PA14_03980(2177/2388), PA14_03970*(353/2670)","GID169, GID7094",PA0305,,PAMr_nr_mas_07_2F6
PAMr_nr_mas_07_2,F7,PA14_MrT7_378wor,D7,36235,6038716,567,Y,,,,,,,,PA14_67590*(1398/1479),GID6858,,,PAMr_nr_mas_07_2F7
PAMr_nr_mas_07_2,F8,PA14_MrT7_378wor,D12,36240,901661,1251,Y,PA14_10470,GID1514,103,1209,PA4136,,putative MFS transporter,"PA14_10470(103/1209), PA14_10450*(1161/1419), PA14_10460*(143/1359)","GID1514, GID6580, GID6579",PA4136,,PAMr_nr_mas_07_2F8
PAMr_nr_mas_07_2,F9,PA14_MrT7_378wor,E6,36246,1308272,737,Y,,,,,,,,PA14_15440*(194/1365),GID6451,,,PAMr_nr_mas_07_2F9
PAMr_nr_mas_07_2,F10,PA14_MrT7_378wor,E9,36249,986734,763,Y,PA14_11350,GID4269,588,663,,,hypothetical,PA14_11350(588/663),GID4269,,,PAMr_nr_mas_07_2F10
PAMr_nr_mas_07_2,F11,PA14_MrT7_378wor,E12,36252,384879,212,Y,PA14_04300,GID5051,329,333,PA0329,,conserved hypothetical protein,PA14_04300(329/333),GID5051,PA0329,,PAMr_nr_mas_07_2F11
PAMr_nr_mas_07_2,F12,PA14_MrT7_378wor,F3,36255,1840914,846,Y,PA14_21250,GID3695,184,603,PA3306,alkB,putative alkylated DNA repair protein,PA14_21250(184/603),GID3695,PA3306,,PAMr_nr_mas_07_2F12
PAMr_nr_mas_07_2,G1,PA14_MrT7_378wor,F9,36261,585086,739,Y,PA14_06690,GID4526,415,444,PA0513,nirG,heme d1 biosynthesis protein NirG,PA14_06690(415/444),GID4526,PA0513,,PAMr_nr_mas_07_2G1
PAMr_nr_mas_07_2,G2,PA14_MrT7_378wor,F11,36263,638363,1152,Y,PA14_07440,GID4969,282,336,PA0573,,hypothetical protein,PA14_07440(282/336),GID4969,PA0573,,PAMr_nr_mas_07_2G2
PAMr_nr_mas_07_2,G3,PA14_MrT7_378wor,G1,36265,6269007,412,Y,PA14_70300,GID2212,53,951,PA5325,,putative enzyme,PA14_70300(53/951),GID2212,PA5325,,PAMr_nr_mas_07_2G3
PAMr_nr_mas_07_2,G4,PA14_MrT7_378wor,G3,36267,361006,977,Y,PA14_04000,GID1947,61,1053,PA0306,,putative transcriptional regulator,"PA14_04000(61/1053), PA14_03990*(921/1095)","GID1947, GID7095",PA0306,,PAMr_nr_mas_07_2G4
PAMr_nr_mas_07_2,G5,PA14_MrT7_378wor,G8,36272,3722454,878,Y,PA14_41690,GID4099,538,540,PA1768,,conserved hypothetical protein,"PA14_41690(538/540), PA14_41700*(1385/1593)","GID4099, GID5782",PA1768,,PAMr_nr_mas_07_2G5
PAMr_nr_mas_07_2,G6,PA14_MrT7_378wor,G10,36274,1027091,615,Y,,,,,,,,"PA14_11840*(705/1374), PA14_11850*(686/1062)","GID6551, GID6550",,,PAMr_nr_mas_07_2G6
PAMr_nr_mas_07_2,G7,PA14_MrT7_378wor,G11,36275,394322,1275,Y,PA14_04410,GID245,1553,2280,PA0337,ptsP,phosphoenolpyruvate-protein phosphotransferase,"PA14_04410(1553/2280), PA14_04400*(779/2418)","GID245, GID7105",PA0337,"Low/no growth, repicked in PAMr_nr_mas_14_3:A11",PAMr_nr_mas_07_2G7
PAMr_nr_mas_07_2,G8,PA14_MrT7_378wor,H5,36281,2198961,839,Y,PA14_25110,GID125,2311,2607,PA3011,topA,DNA topoisomerase I,"PA14_25110(2311/2607), PA14_25120*(405/2529)","GID125, GID6234",PA3011,"Low/no growth, repicked in PAMr_nr_mas_14_3:A12",PAMr_nr_mas_07_2G8
PAMr_nr_mas_07_2,G9,PA14_MrT7_379wor,A9,36297,1785220,1382,Y,PA14_20740,GID3499,55,699,PA3350,flgA,putative flagella basal body P-ring formation protein,PA14_20740(55/699),GID3499,PA3350,,PAMr_nr_mas_07_2G9
PAMr_nr_mas_07_2,G10,PA14_MrT7_379wor,B1,36301,6355589,688,Y,PA14_71320,GID4012,385,570,PA5402,,hypothetical protein,PA14_71320(385/570),GID4012,PA5402,,PAMr_nr_mas_07_2G10
PAMr_nr_mas_07_2,G11,PA14_MrT7_379wor,B4,36304,5917366,513,Y,PA14_66350,GID469,377,1803,PA5020,,putative acyl-CoA dehydrogenase,PA14_66350(377/1803),GID469,PA5020,,PAMr_nr_mas_07_2G11
PAMr_nr_mas_07_2,G12,PA14_MrT7_379wor,B6,36306,6124363,353,Y,PA14_68680,GID1183,406,1320,PA5199,envZ,two-component sensor EnvZ,"PA14_68680(406/1320), PA14_68690*(819/1539)","GID1183, GID6883",PA5199,,PAMr_nr_mas_07_2G12
PAMr_nr_mas_07_2,H1,PA14_MrT7_379wor,B9,36309,3236726,541,Y,,,,,,,,PA14_36340*(82/1344),GID5924,,,PAMr_nr_mas_07_2H1
PAMr_nr_mas_07_2,H2,PA14_MrT7_379wor,B10,36310,5836817,846,Y,PA14_65520,GID853,1463,1464,PA4958,,conserved hypothetical protein,"PA14_65520(1463/1464), PA14_65510*(89/2076), PA14_65530*(1992/2058)","GID853, GID6809, GID6810",PA4958,,PAMr_nr_mas_07_2H2
PAMr_nr_mas_07_2,H3,PA14_MrT7_379wor,B12,36312,3551015,87.7,Y,PA14_39830,GID1595,497,1152,PA1909,,putative membrane protein,PA14_39830(497/1152),GID1595,PA1909,,PAMr_nr_mas_07_2H3
PAMr_nr_mas_07_2,H4,PA14_MrT7_379wor,C10,36322,508560,620,Y,PA14_05750,GID1069,913,1368,PA0440,,putative glutamate synthase beta subunit,"PA14_05750(913/1368), PA14_05760*(396/1551)","GID1069, GID7137",PA0440,,PAMr_nr_mas_07_2H4
PAMr_nr_mas_07_2,H5,PA14_MrT7_379wor,D7,36331,2759347,1102,Y,PA14_31720,GID526,1262,1761,PA2540,,putative lysophospholipas,"PA14_31720(1262/1761), PA14_31710*(314/1872)","GID526, GID6051",PA2540,,PAMr_nr_mas_07_2H5
PAMr_nr_mas_07_2,H6,PA14_MrT7_379wor,E9,36345,658336,1279,Y,PA14_07660,GID1273,1115,1272,PA0587,,conserved hypothetical protein,"PA14_07660(1115/1272), PA14_07670*(26/1326)","GID1273, GID7183",PA0587,,PAMr_nr_mas_07_2H6
PAMr_nr_mas_07_2,H7,PA14_MrT7_379wor,F1,36349,4318341,739,Y,PA14_48560,GID2399,394,879,PA1218,,conserved hypothetical protein,PA14_48560(394/879),GID2399,PA1218,,PAMr_nr_mas_07_2H7
PAMr_nr_mas_07_2,H8,PA14_MrT7_379wor,F12,36360,6421749,1417,Y,PA14_72030,GID2659,511,864,PA5457,,conserved hypothetical protein,PA14_72030(511/864),GID2659,PA5457,,PAMr_nr_mas_07_2H8
PAMr_nr_mas_07_2,H9,PA14_MrT7_379wor,G3,36363,6535113,718,Y,PA14_73410,GID520,1696,1737,PA5568,,"putative inner membrane protein, 60 kDa",PA14_73410(1696/1737),GID520,PA5568,,PAMr_nr_mas_07_2H9
PAMr_nr_mas_07_2,H10,PA14_MrT7_380wor,A3,36387,4350612,712,Y,PA14_48930,GID3470,53,1287,,,conserved hypothetical protein,PA14_48930(53/1287),GID3470,,,PAMr_nr_mas_07_2H10
PAMr_nr_mas_07_2,H11,PA14_MrT7_380wor,A4,36388,1795483,617,Y,PA14_20860,GID365,16,2046,PA3340,,putative Tfp pilus assembly protein FimV,PA14_20860(16/2046),GID365,PA3340,,PAMr_nr_mas_07_2H11
PAMr_nr_mas_07_2,H12,PA14_MrT7_380wor,A9,36393,2532982,668,Y,PA14_29270,GID1774,179,1104,PA2695,,putative outer membrane lipoprotein,PA14_29270(179/1104),GID1774,PA2695,,PAMr_nr_mas_07_2H12
PAMr_nr_mas_07_3,A1,PA14_MrT7_380wor,B1,36397,1462450,442,Y,PA14_17050,GID2904,398,786,PA3657,map,"methionine aminopeptidase, type I",PA14_17050(398/786),GID2904,PA3657,,PAMr_nr_mas_07_3A1
PAMr_nr_mas_07_3,A2,PA14_MrT7_380wor,B4,36400,2582912,440,Y,PA14_29820,GID1985,922,1059,PA2651,,putative exported protein,"PA14_29820(922/1059), PA14_29810*(950/1947)","GID1985, GID6123",PA2651,,PAMr_nr_mas_07_3A2
PAMr_nr_mas_07_3,A3,PA14_MrT7_380wor,B5,36401,1998586,755,Y,PA14_23050,GID2479,332,852,PA3185,,putative aldose 1-epimerase,"PA14_23050(332/852), PA14_23040*(722/1173)","GID2479, GID6276",PA3185,,PAMr_nr_mas_07_3A3
PAMr_nr_mas_07_3,A4,PA14_MrT7_380wor,B9,36405,5268804,268,Y,PA14_59180,GID393,631,1926,,topA,topoisomerase I,PA14_59180(631/1926),GID393,,,PAMr_nr_mas_07_3A4
PAMr_nr_mas_07_3,A5,PA14_MrT7_380wor,B12,36408,2525909,1162,Y,PA14_29210,GID712,896,1590,PA2701,,putative MFS transporter,PA14_29210(896/1590),GID712,PA2701,,PAMr_nr_mas_07_3A5
PAMr_nr_mas_07_3,A6,PA14_MrT7_380wor,C3,36411,3000387,793,Y,PA14_33760,GID391,101,1992,PA2390,,putative ATP-binding/permease fusion ABC transporter,PA14_33760(101/1992),GID391,PA2390,,PAMr_nr_mas_07_3A6
PAMr_nr_mas_07_3,A7,PA14_MrT7_380wor,C5,36413,775498,482,Y,PA14_09180,GID90,2565,2838,PA4234,uvrA,excinuclease ABC subunit A,"PA14_09180(2565/2838), PA14_09170*(289/2904)","GID90, GID6613",PA4234,,PAMr_nr_mas_07_3A7
PAMr_nr_mas_07_3,A8,PA14_MrT7_380wor,D4,36424,4466864,894,Y,PA14_50290,GID1029,10,1467,PA1092,fliC,flagellin type B,PA14_50290(10/1467),GID1029,PA1092,,PAMr_nr_mas_07_3A8
PAMr_nr_mas_07_3,A9,PA14_MrT7_380wor,D6,36426,3081519,1203,Y,PA14_34690,GID2655,347,894,PA2316,,"putative transcriptional regulator, LysR family",PA14_34690(347/894),GID2655,PA2316,,PAMr_nr_mas_07_3A9
PAMr_nr_mas_07_3,A10,PA14_MrT7_380wor,D7,36427,6374833,805,Y,PA14_71560,GID1416,26,1200,PA5421,fdhA,glutathione-independent formaldehyde dehydrogenase,"PA14_71560(26/1200), PA14_71540*(1154/1440), PA14_71550*(72/1320)","GID1416, GID6948, GID6949",PA5421,,PAMr_nr_mas_07_3A10
PAMr_nr_mas_07_3,A11,PA14_MrT7_380wor,D9,36429,6383945,91.7,Y,,,,,,,,PA14_71660*(20/1284),GID6951,,,PAMr_nr_mas_07_3A11
PAMr_nr_mas_07_3,A12,PA14_MrT7_380wor,E9,36441,6091165,636,Y,PA14_68290,GID1438,161,1284,PA5169,,probable C4-dicarboxylate transporter,PA14_68290(161/1284),GID1438,PA5169,,PAMr_nr_mas_07_3A12
PAMr_nr_mas_07_3,B1,PA14_MrT7_380wor,E11,36443,3395520,1273,Y,PA14_38060,GID5186,120,261,PA2045,,conserved hypothetical protein,PA14_38060(120/261),GID5186,PA2045,,PAMr_nr_mas_07_3B1
PAMr_nr_mas_07_3,B2,PA14_MrT7_380wor,F3,36447,6511302,896,Y,PA14_73110,GID349,194,2025,PA5544,,putative transport protein,PA14_73110(194/2025),GID349,PA5544,,PAMr_nr_mas_07_3B2
PAMr_nr_mas_07_3,B3,PA14_MrT7_380wor,F6,36450,5085674,1158,Y,PA14_57080,GID4804,139,384,PA4392,,putative methyltransferase,PA14_57080(139/384),GID4804,PA4392,,PAMr_nr_mas_07_3B3
PAMr_nr_mas_07_3,B4,PA14_MrT7_380wor,F8,36452,4428126,1183,Y,PA14_49780,GID4652,115,408,PA1129,,probable fosfomycin resistance protein,"PA14_49780(115/408), PA14_49770*(957/1338)","GID4652, GID5614",PA1129,,PAMr_nr_mas_07_3B4
PAMr_nr_mas_07_3,B5,PA14_MrT7_380wor,F10,36454,5161539,638,Y,PA14_58000,GID3652,103,612,PA4468,sodM,superoxide dismutase,PA14_58000(103/612),GID3652,PA4468,,PAMr_nr_mas_07_3B5
PAMr_nr_mas_07_3,B6,PA14_MrT7_380wor,G2,36458,1487996,577,Y,PA14_17310,GID2777,844,846,PA3636,kdsA,2-dehydro-3-deoxyphosphooctonate aldolase,PA14_17310(844/846),GID2777,PA3636,,PAMr_nr_mas_07_3B6
PAMr_nr_mas_07_3,B7,PA14_MrT7_380wor,G6,36462,6513777,1015,Y,PA14_73140,GID1463,101,1185,PA5546,,putative cyclopropan-fatty-acyl-phospholipid synthase,PA14_73140(101/1185),GID1463,PA5546,,PAMr_nr_mas_07_3B7
PAMr_nr_mas_07_3,B8,PA14_MrT7_380wor,G10,36466,1191620,852,Y,PA14_13850,GID2122,314,990,PA3870,moaA1,molybdenum cofactor biosynthesis protein A,PA14_13850(314/990),GID2122,PA3870,,PAMr_nr_mas_07_3B8
PAMr_nr_mas_07_3,B9,PA14_MrT7_380wor,G11,36467,1444886,454,Y,PA14_16860,GID157,850,2505,PA3673,plsB,glycerol-3-phosphate acyltransferase,"PA14_16860(850/2505), PA14_16850*(1800/2670)","GID157, GID6408",PA3673,,PAMr_nr_mas_07_3B9
PAMr_nr_mas_07_3,B10,PA14_MrT7_380wor,H2,36470,5145784,373,Y,PA14_57780,GID1241,1234,1323,PA4448,hisD, histidinol dehydrogenase,"PA14_57780(1234/1323), PA14_57790*(45/1410)","GID1241, GID6667",PA4448,,PAMr_nr_mas_07_3B10
PAMr_nr_mas_07_3,B11,PA14_MrT7_380wor,H5,36473,4142627,769,Y,PA14_46540,GID5683,227,1701,,,,PA14_46540(227/1701),GID5683,,,PAMr_nr_mas_07_3B11
PAMr_nr_mas_07_3,B12,PA14_MrT7_381wor,A8,36488,1316565,1225,Y,PA14_15560,GID6441,248,309,,,conserved hypothetical protein,PA14_15560(248/309),GID6441,,,PAMr_nr_mas_07_3B12
PAMr_nr_mas_07_3,C1,PA14_MrT7_381wor,A9,36489,5642603,1213,Y,PA14_63220,GID5318,43,246,PA4782,,hypothetical protein,PA14_63220(43/246),GID5318,PA4782,,PAMr_nr_mas_07_3C1
PAMr_nr_mas_07_3,C2,PA14_MrT7_381wor,A11,36491,1451679,107,Y,PA14_16930,GID1424,468,1206,PA3667,,putative cysteine sulfinate desulfinase,"PA14_16930(468/1206), PA14_16940*(607/1296)","GID1424, GID6406",PA3667,,PAMr_nr_mas_07_3C2
PAMr_nr_mas_07_3,C3,PA14_MrT7_381wor,B4,36496,2411483,716,Y,PA14_27810,GID3583,71,681,PA2809,,putative two-component response regulator,"PA14_27810(71/681), PA14_27820*(566/681)","GID3583, GID6167",PA2809,,PAMr_nr_mas_07_3C3
PAMr_nr_mas_07_3,C4,PA14_MrT7_381wor,B12,36504,3131141,1195,Y,PA14_35190,GID591,88,1698,PA2272,pbpC,penicillin-binding protein 3A,"PA14_35190(88/1698), PA14_35180*(176/1797)","GID591, GID5959",PA2272,,PAMr_nr_mas_07_3C4
PAMr_nr_mas_07_3,C5,PA14_MrT7_381wor,C11,36515,4239266,325,Y,PA14_47600,GID460,1270,1821,PA1284,,putative acyl-CoA dehydrogenase,"PA14_47600(1270/1821), PA14_47590*(561/1881)","GID460, GID5666",PA1284,,PAMr_nr_mas_07_3C5
PAMr_nr_mas_07_3,C6,PA14_MrT7_381wor,D2,36518,4902396,238,Y,PA14_55200,GID870,181,1395,PA0704,,probable amidase,"PA14_55200(181/1395), PA14_55190*(185/1395)","GID870, GID5502",PA0704,,PAMr_nr_mas_07_3C6
PAMr_nr_mas_07_3,C7,PA14_MrT7_381wor,D9,36525,743590,940,Y,PA14_08710,GID4128,532,534,PA4275,nusG,transcription antitermination protein NusG,PA14_08710(532/534),GID4128,PA4275,,PAMr_nr_mas_07_3C7
PAMr_nr_mas_07_3,C8,PA14_MrT7_381wor,D12,36528,5673246,1257,Y,PA14_63620,GID2417,340,930,PA4813,lipC,lipase LipC,PA14_63620(340/930),GID2417,PA4813,,PAMr_nr_mas_07_3C8
PAMr_nr_mas_07_3,C9,PA14_MrT7_381wor,E4,36532,4596994,363,Y,PA14_51750,GID3497,694,696,PA0969,tolQ,TolQ protein,PA14_51750(694/696),GID3497,PA0969,,PAMr_nr_mas_07_3C9
PAMr_nr_mas_07_3,C10,PA14_MrT7_381wor,E5,36533,1226071,613,Y,PA14_14370,GID3107,789,795,PA3838,,putative ABC-transporter ATP-binding component,PA14_14370(789/795),GID3107,PA3838,,PAMr_nr_mas_07_3C10
PAMr_nr_mas_07_3,C11,PA14_MrT7_381wor,E7,36535,2164118,904,Y,PA14_24730,GID1024,261,1332,PA3043,,putative deoxyguanosinetriphosphate triphosphohydrolase,PA14_24730(261/1332),GID1024,PA3043,,PAMr_nr_mas_07_3C11
PAMr_nr_mas_07_3,C12,PA14_MrT7_381wor,E10,36538,3502324,1102,Y,PA14_39330,GID810,53,1533,PA1947,rbsA,"ribose ABC transporter, ATP-binding protein","PA14_39330(53/1533), PA14_39340*(1052/2166)","GID810, GID5843",PA1947,,PAMr_nr_mas_07_3C12
PAMr_nr_mas_07_3,D1,PA14_MrT7_381wor,E11,36539,1373161,527,Y,PA14_16130,GID1391,1134,1230,PA3733,,putative carnitine dehydratase,"PA14_16130(1134/1230), PA14_16120*(118/1299)","GID1391, GID6422",PA3733,,PAMr_nr_mas_07_3D1
PAMr_nr_mas_07_3,D2,PA14_MrT7_381wor,F2,36542,2880285,553,Y,PA14_32930,GID2321,154,918,PA2450,,hypothetical protein,"PA14_32930(154/918), PA14_32920*(2331/2649)","GID2321, GID6014",PA2450,,PAMr_nr_mas_07_3D2
PAMr_nr_mas_07_3,D3,PA14_MrT7_381wor,F6,36546,2351202,291,Y,PA14_27050,GID983,241,1431,PA2865,,"putative transglycosylase, SLT family","PA14_27050(241/1431), PA14_27030*(425/1554), PA14_27040*(1185/1578)","GID983, GID6188, GID6187",PA2865,,PAMr_nr_mas_07_3D3
PAMr_nr_mas_07_3,D4,PA14_MrT7_381wor,F8,36548,4187825,797,Y,PA14_47000,GID1753,121,1113,PA1334,,"putative oxidoreductase, FMN-binding",PA14_47000(121/1113),GID1753,PA1334,,PAMr_nr_mas_07_3D4
PAMr_nr_mas_07_3,D5,PA14_MrT7_381wor,F9,36549,1913924,391,Y,PA14_22000,GID3579,518,636,PA3246,rluA,ribosomal large subunit pseudouridine synthase A,PA14_22000(518/636),GID3579,PA3246,,PAMr_nr_mas_07_3D5
PAMr_nr_mas_07_3,D6,PA14_MrT7_381wor,G2,36554,4621961,523,Y,PA14_52120,GID5576,137,192,,,hypothetical protein,PA14_52120(137/192),GID5576,,,PAMr_nr_mas_07_3D6
PAMr_nr_mas_07_3,D7,PA14_MrT7_381wor,G11,36563,5980331,1033,Y,,,,,,,,PA14_67000*(1955/2187),GID6846,,,PAMr_nr_mas_07_3D7
PAMr_nr_mas_07_3,D8,PA14_MrT7_381wor,G12,36564,2446542,317,Y,PA14_28300,GID4387,206,483,PA2768,,hypothetical protein,PA14_28300(206/483),GID4387,PA2768,,PAMr_nr_mas_07_3D8
PAMr_nr_mas_07_3,D9,PA14_MrT7_381wor,H4,36568,2442382,323,Y,PA14_28220,GID4157,143,522,PA2773,,conserved hypothetical protein,PA14_28220(143/522),GID4157,PA2773,,PAMr_nr_mas_07_3D9
PAMr_nr_mas_07_3,D10,PA14_MrT7_382wor,A2,36578,701653,196,Y,PA14_08180,GID5031,359,363,PA0630,,hypothetical protein,PA14_08180(359/363),GID5031,PA0630,,PAMr_nr_mas_07_3D10
PAMr_nr_mas_07_3,D11,PA14_MrT7_382wor,B4,36592,3609371,216,Y,PA14_40380,GID3660,137,651,PA1864,,"putative transcriptional regulator, TetR family",PA14_40380(137/651),GID3660,PA1864,,PAMr_nr_mas_07_3D11
PAMr_nr_mas_07_3,D12,PA14_MrT7_382wor,B10,36598,3317773,541,Y,PA14_37250,GID1314,758,1272,PA2114,,putative major facilitator family transporter,"PA14_37250(758/1272), PA14_37230*(1200/2985), PA14_37240*(545/1560)","GID1314, GID5899, GID5898",PA2114,,PAMr_nr_mas_07_3D12
PAMr_nr_mas_07_3,E1,PA14_MrT7_382wor,B11,36599,1829102,71.9,Y,PA14_21150,GID2932,512,834,PA3315,,probable ABC transporter permease component,PA14_21150(512/834),GID2932,PA3315,,PAMr_nr_mas_07_3E1
