Gene	Essentiality	Control	Condition	Replicates	loci	description	old_loci
SAUSA300_1777	always essential	4	4	4	NA	NA	NA
SAUSA300_1778	always essential	4	4	4	NA	NA	NA
SAUSA300_1779	probably essential in control	4	1	4	NA	NA	NA
SAUSA300_1780	always non-essential	0	0	4	SAUSA300_RS09740	alpha/beta hydrolase	SAUSA300_1780
SAUSA300_1784	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1785	always non-essential	0	0	4	SAUSA300_RS09775	ABC transporter permease	SAUSA300_1785
SAUSA300_1786	always non-essential	0	0	4	SAUSA300_RS09780	ABC transporter ATP-binding protein	SAUSA300_1786
SAUSA300_1787	always non-essential	0	0	4	SAUSA300_RS09785	HIT family protein	SAUSA300_1787
SAUSA300_1788	always non-essential	0	0	4	SAUSA300_RS09790	YtxH domain-containing protein	SAUSA300_1788
SAUSA300_1789	always non-essential	0	0	4	SAUSA300_RS09795	DUF3267 domain-containing protein	SAUSA300_1789
SAUSA300_1792	always non-essential	0	0	4	SAUSA300_RS09810	AAA family ATPase	SAUSA300_1792
SAUSA300_1793	always non-essential	0	0	4	SAUSA300_RS09815	exonuclease SbcCD subunit D	SAUSA300_1793
SAUSA300_1794	probably always non-essential	0	1	4	SAUSA300_RS09820	hypothetical protein	SAUSA300_1794
SAUSA300_1795	always non-essential	0	0	4	SAUSA300_RS09825	YlbF/YmcA family competence regulator	SAUSA300_1795
SAUSA300_1796	always non-essential	0	0	4	SAUSA300_RS09830	DUF445 domain-containing protein	SAUSA300_1796
SAUSA300_1797	always non-essential	0	0	4	SAUSA300_RS09835	helix-turn-helix transcriptional regulator	SAUSA300_1797
SAUSA300_1798	always non-essential	0	0	4	SAUSA300_RS09840	response regulator transcription factor	SAUSA300_1798
SAUSA300_1799	always non-essential	0	0	4	SAUSA300_RS09845	GAF domain-containing sensor histidine kinase	SAUSA300_1799
SAUSA300_1800	always non-essential	0	0	4	SAUSA300_RS09850	RluA family pseudouridine synthase	SAUSA300_1800
SAUSA300_1802	always non-essential	0	0	4	SAUSA300_RS09860	hypothetical protein	SAUSA300_1802
SAUSA300_1803	probably always non-essential	1	0	4	SAUSA300_RS09870	hypothetical protein	SAUSA300_1803
SAUSA300_1804	always non-essential	0	0	4	SAUSA300_RS09875	glucosamine-6-phosphate isomerase	SAUSA300_1804
SAUSA300_1805	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1806	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1807	always non-essential	0	0	4	SAUSA300_RS09890	amino acid ABC transporter ATP-binding protein	SAUSA300_1807
SAUSA300_1808	always non-essential	0	0	4	SAUSA300_RS09895	ABC transporter permease subunit	SAUSA300_1808
SAUSA300_1809	always non-essential	0	0	4	SAUSA300_RS09900	PTS transporter subunit IIC	SAUSA300_1809
SAUSA300_1810	always essential	4	4	4	SAUSA300_RS09905	ISL3-like element IS1181 family transposase	SAUSA300_1810
SAUSA300_1811	inconsistent replicates	4	2	4	NA	NA	NA
SAUSA300_1812	always non-essential	0	0	4	SAUSA300_RS15810	tRNA-Gly	SAUSA300_1812
SAUSA300_1813	always non-essential	0	0	4	SAUSA300_RS09915	tRNA-Gly	SAUSA300_1813
SAUSA300_1814	always essential	4	4	4	NA	NA	NA
SAUSA300_1815	always essential	4	4	4	SAUSA300_RS09925	tRNA-Gln	SAUSA300_1815
SAUSA300_1816	always essential	4	4	4	NA	NA	NA
SAUSA300_1817	always essential	4	4	4	NA	NA	NA
SAUSA300_1818	always essential	4	4	4	NA	NA	NA
SAUSA300_1819	probably always non-essential	1	0	4	SAUSA300_RS09945	tRNA-Thr	SAUSA300_1819
SAUSA300_1820	always essential	4	4	4	NA	NA	NA
SAUSA300_1821	probably always essential	3	3	4	NA	NA	NA
SAUSA300_1822	always essential	4	4	4	NA	NA	NA
SAUSA300_1823	always essential	4	4	4	SAUSA300_RS09965	tRNA-Ser	SAUSA300_1823
SAUSA300_1824	always essential	4	4	4	NA	NA	NA
SAUSA300_1825	always essential	4	4	4	SAUSA300_RS09975	tRNA-Ser	SAUSA300_1825
SAUSA300_1826	always essential	4	4	4	NA	NA	NA
SAUSA300_1827	always essential	4	4	4	NA	NA	NA
SAUSA300_1828	always essential	4	4	4	SAUSA300_RS09990	tRNA-Ala	SAUSA300_1828
SAUSA300_1829	probably essential in control	3	1	4	SAUSA300_RS09995	tRNA-Pro	SAUSA300_1829
SAUSA300_1830	probably always essential	3	4	4	NA	NA	NA
SAUSA300_1831	inconsistent replicates	3	2	4	SAUSA300_RS10005	tRNA-Leu	SAUSA300_1831
SAUSA300_1832	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1833	inconsistent replicates	2	1	4	SAUSA300_RS10015	tRNA-Leu	SAUSA300_1833
SAUSA300_1834	always essential	4	4	4	SAUSA300_RS10020	tRNA-Lys	SAUSA300_1834
SAUSA300_1835	always non-essential	0	0	4	SAUSA300_RS10025	tRNA-Thr	SAUSA300_1835
SAUSA300_1836	inconsistent replicates	3	2	4	SAUSA300_RS10030	tRNA-Val	SAUSA300_1836
SAUSA300_1839	always essential	4	4	4	SAUSA300_RS10045	tRNA-Ala	SAUSA300_1839
SAUSA300_1840	inconsistent replicates	3	2	4	NA	NA	NA
SAUSA300_1842	probably always non-essential	1	1	4	NA	NA	NA
SAUSA300_1843	always non-essential	0	0	4	SAUSA300_RS10065	phosphoglycerate dehydrogenase	SAUSA300_1843
SAUSA300_1844	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1846	always non-essential	0	0	4	SAUSA300_RS10080	aromatic acid exporter family protein	SAUSA300_1846
SAUSA300_1847	always non-essential	0	0	4	SAUSA300_RS10090	SAV1866 family putative multidrug efflux ABC transporter	SAUSA300_1847
SAUSA300_1848	probably always essential	4	3	4	SAUSA300_RS10095	DUF402 domain-containing protein	SAUSA300_1848
SAUSA300_1850	always non-essential	0	0	4	SAUSA300_RS10105	metal-dependent hydrolase	SAUSA300_1850
SAUSA300_1851	always non-essential	0	0	4	SAUSA300_RS10115	membrane protein	SAUSA300_1851
SAUSA300_1852	always non-essential	0	0	4	SAUSA300_RS10120	ABC transporter ATP-binding protein	SAUSA300_1852
SAUSA300_1853	always non-essential	0	0	4	SAUSA300_RS10125	YfhH family protein	SAUSA300_1853
SAUSA300_1854	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1856	always non-essential	0	0	4	SAUSA300_RS10140	type 1 glutamine amidotransferase	SAUSA300_1856
SAUSA300_1857	always non-essential	0	0	4	SAUSA300_RS10145	hypothetical protein	SAUSA300_1857
SAUSA300_1858	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1859	always non-essential	0	0	4	SAUSA300_RS10155	acyl-CoA thioesterase	SAUSA300_1859
SAUSA300_1861	always non-essential	0	0	4	SAUSA300_RS10165	DUF1128 family protein	SAUSA300_1861
SAUSA300_1862	always non-essential	0	0	4	SAUSA300_RS10170	low molecular weight phosphotyrosine protein phosphatase	SAUSA300_1862
SAUSA300_1863	inconsistent replicates	2	2	4	SAUSA300_RS10175	YtxH domain-containing protein	SAUSA300_1863
SAUSA300_1864	always non-essential	0	0	4	SAUSA300_RS10180	YihY/virulence factor BrkB family protein	SAUSA300_1864
SAUSA300_1867	always non-essential	0	0	4	SAUSA300_RS10195	cell wall-active antibiotics response protein	SAUSA300_1867
SAUSA300_1868	always non-essential	0	0	4	SAUSA300_RS10200	hypothetical protein	SAUSA300_1868
SAUSA300_1870	always non-essential	0	0	4	SAUSA300_RS10215	aromatic acid exporter family protein	SAUSA300_1870
SAUSA300_1871	always non-essential	0	0	4	SAUSA300_RS10230	hypothetical protein	SAUSA300_1871
SAUSA300_1872	probably always essential	4	3	4	SAUSA300_RS10240	type 1 glutamine amidotransferase	SAUSA300_1872
SAUSA300_1873	always essential	4	4	4	NA	NA	NA
SAUSA300_1874	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1875	always non-essential	0	0	4	SAUSA300_RS10260	3'-5' exonuclease	SAUSA300_1875
SAUSA300_1876	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1877	always non-essential	0	0	4	SAUSA300_RS10270	DUF3267 domain-containing protein	SAUSA300_1877
SAUSA300_1879	probably always essential	4	3	4	SAUSA300_RS10280	diacylglycerol kinase	SAUSA300_1879
SAUSA300_1884	always non-essential	0	0	4	SAUSA300_RS10310	CamS family sex pheromone protein	SAUSA300_1884
SAUSA300_1888	always non-essential	0	0	4	SAUSA300_RS10330	hypothetical protein	SAUSA300_1888
SAUSA300_1890	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1891	always non-essential	0	0	4	SAUSA300_RS10350	NETI motif-containing protein	SAUSA300_1891
SAUSA300_1892	always non-essential	0	0	4	SAUSA300_RS10355	DUF2179 domain-containing protein	SAUSA300_1892
SAUSA300_1894	always essential	4	4	4	SAUSA300_RS10365	nicotinate phosphoribosyltransferase	SAUSA300_1894
SAUSA300_1895	always non-essential	0	0	4	SAUSA300_RS10370	nitric oxide synthase oxygenase	SAUSA300_1895
SAUSA300_1897	always non-essential	0	0	4	SAUSA300_RS10385	SLC13 family permease	SAUSA300_1897
SAUSA300_1898	always non-essential	0	0	4	SAUSA300_RS10390	pectate lyase	SAUSA300_1898
SAUSA300_1899	always non-essential	0	0	4	SAUSA300_RS10395	cysteine hydrolase	SAUSA300_1899
SAUSA300_1902	inconsistent replicates	4	2	4	SAUSA300_RS10415	lactonase family protein	SAUSA300_1902
SAUSA300_1903	always non-essential	0	0	4	SAUSA300_RS10420	YolD-like family protein	SAUSA300_1903
SAUSA300_1904	always non-essential	0	0	4	SAUSA300_RS10425	hypothetical protein	SAUSA300_1904
SAUSA300_1905	always non-essential	0	0	4	SAUSA300_RS10430	C45 family autoproteolytic acyltransferase/hydolase	SAUSA300_1905
SAUSA300_1906	always non-essential	0	0	4	SAUSA300_RS10435	DUF4097 family beta strand repeat-containing protein	SAUSA300_1906
SAUSA300_1907	always non-essential	0	0	4	SAUSA300_RS10440	DUF1700 domain-containing protein	SAUSA300_1907
SAUSA300_1908	always non-essential	0	0	4	SAUSA300_RS10445	membrane protein	SAUSA300_1908
SAUSA300_1909	always non-essential	0	0	4	SAUSA300_RS10450	thioredoxin family protein	SAUSA300_1909
SAUSA300_1910	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1911	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1912	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1913	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1914	always non-essential	0	0	4	SAUSA300_RS10475	GntR family transcriptional regulator	SAUSA300_1914
SAUSA300_1915	always non-essential	0	0	4	SAUSA300_RS10480	hypothetical protein	SAUSA300_1915
SAUSA300_1916	always essential	4	4	4	SAUSA300_RS10490	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	SAUSA300_1916
SAUSA300_1918	always non-essential	0	0	4	SAUSA300_RS10505	sphingomyelin phosphodiesterase	SAUSA300_1918
SAUSA300_1919	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1921	always non-essential	0	0	4	SAUSA300_RS15815	SH3 domain-containing protein	SAUSA300_1921
SAUSA300_1923	always non-essential	0	0	4	SAUSA300_RS10545	CHAP domain-containing protein	SAUSA300_1923
SAUSA300_1924	always non-essential	0	0	4	SAUSA300_RS10550	phage holin	SAUSA300_1924
SAUSA300_1925	always non-essential	0	0	4	SAUSA300_RS10565	DUF2951 domain-containing protein	SAUSA300_1925
SAUSA300_1926	always non-essential	0	0	4	SAUSA300_RS10570	hypothetical protein	SAUSA300_1926
SAUSA300_1927	always non-essential	0	0	4	SAUSA300_RS10575	hypothetical protein	SAUSA300_1927
SAUSA300_1928	always non-essential	0	0	4	SAUSA300_RS10580	hypothetical protein	SAUSA300_1928
SAUSA300_1929	always non-essential	0	0	4	SAUSA300_RS10585	phage tail family protein	SAUSA300_1929
SAUSA300_1930	always non-essential	0	0	4	SAUSA300_RS10590	phage tail tape measure protein	SAUSA300_1930
SAUSA300_1931	always non-essential	0	0	4	SAUSA300_RS15885	hypothetical protein	SAUSA300_1931
SAUSA300_1932	always non-essential	0	0	4	SAUSA300_RS10600	hypothetical protein	SAUSA300_1932
SAUSA300_1933	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1934	always non-essential	0	0	4	SAUSA300_RS10605	phage tail protein	SAUSA300_1934
SAUSA300_1935	always non-essential	0	0	4	SAUSA300_RS10615	HK97 gp10 family phage protein	SAUSA300_1935
SAUSA300_1936	always non-essential	0	0	4	SAUSA300_RS10620	head-tail adaptor protein	SAUSA300_1936
SAUSA300_1937	always non-essential	0	0	4	SAUSA300_RS10630	hypothetical protein	SAUSA300_1937
SAUSA300_1938	always non-essential	0	0	4	SAUSA300_RS10635	phage major capsid protein	SAUSA300_1938
SAUSA300_1939	always non-essential	0	0	4	SAUSA300_RS10640	Clp protease ClpP	SAUSA300_1939
SAUSA300_1940	always non-essential	0	0	4	SAUSA300_RS10645	phage portal protein	SAUSA300_1940
SAUSA300_1941	always non-essential	0	0	4	SAUSA300_RS10650	terminase large subunit	SAUSA300_1941
SAUSA300_1942	always non-essential	0	0	4	SAUSA300_RS10655	hypothetical protein	SAUSA300_1942
SAUSA300_1943	always non-essential	0	0	4	SAUSA300_RS10660	HNH endonuclease	SAUSA300_1943
SAUSA300_1944	always non-essential	0	0	4	SAUSA300_RS10665	hypothetical protein	SAUSA300_1944
SAUSA300_1945	always non-essential	0	0	4	SAUSA300_RS10670	DUF1514 family protein	SAUSA300_1945
SAUSA300_1946	always non-essential	0	0	4	SAUSA300_RS10675	transcriptional activator RinB	SAUSA300_1946
SAUSA300_1947	always non-essential	0	0	4	SAUSA300_RS10680	hypothetical protein	SAUSA300_1947
SAUSA300_1948	always non-essential	0	0	4	SAUSA300_RS10685	DUF1381 domain-containing protein	SAUSA300_1948
SAUSA300_1950	always non-essential	0	0	4	SAUSA300_RS10700	hypothetical protein	SAUSA300_1950
SAUSA300_1951	always non-essential	0	0	4	SAUSA300_RS10705	DUF1024 family protein	SAUSA300_1951
SAUSA300_1952	always non-essential	0	0	4	SAUSA300_RS10710	hypothetical protein	SAUSA300_1952
SAUSA300_1953	always non-essential	0	0	4	SAUSA300_RS10715	phi PVL orf 51-like protein	SAUSA300_1953
SAUSA300_1954	always non-essential	0	0	4	SAUSA300_RS10720	hypothetical protein	SAUSA300_1954
SAUSA300_1955	always non-essential	0	0	4	SAUSA300_RS10725	RusA family crossover junction endodeoxyribonuclease	SAUSA300_1955
SAUSA300_1956	always non-essential	0	0	4	SAUSA300_RS10730	hypothetical protein	SAUSA300_1956
SAUSA300_1957	always non-essential	0	0	4	SAUSA300_RS10735	DnaD domain-containing protein	SAUSA300_1957
SAUSA300_1958	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1959	always non-essential	0	0	4	SAUSA300_RS10745	MBL fold metallo-hydrolase	SAUSA300_1959
SAUSA300_1960	always non-essential	0	0	4	SAUSA300_RS10750	recombinase RecT	SAUSA300_1960
SAUSA300_1961	always non-essential	0	0	4	SAUSA300_RS10755	AAA family ATPase	SAUSA300_1961
SAUSA300_1962	always non-essential	0	0	4	SAUSA300_RS10760	DUF1108 family protein	SAUSA300_1962
SAUSA300_1963	probably always non-essential	0	1	4	SAUSA300_RS10765	DUF2482 family protein	SAUSA300_1963
SAUSA300_1964	always non-essential	0	0	4	SAUSA300_RS10775	DUF771 domain-containing protein	SAUSA300_1964
SAUSA300_1965	always non-essential	0	0	4	SAUSA300_RS10780	hypothetical protein	SAUSA300_1965
SAUSA300_1966	always non-essential	0	0	4	SAUSA300_RS10785	phage antirepressor KilAC domain-containing protein	SAUSA300_1966
SAUSA300_1967	always non-essential	0	0	4	SAUSA300_RS10790	hypothetical protein	SAUSA300_1967
SAUSA300_1968	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1969	always non-essential	0	0	4	SAUSA300_RS10810	XRE family transcriptional regulator	SAUSA300_1969
SAUSA300_1970	always non-essential	0	0	4	SAUSA300_RS10815	ATP-dependent helicase	SAUSA300_1970
SAUSA300_1971	always non-essential	0	0	4	SAUSA300_RS10830	type II toxin-antitoxin system PemK/MazF family toxin	SAUSA300_1971
SAUSA300_1973	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1974	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1975	always non-essential	0	0	4	NA	NA	NA
SAUSA300_1976	always non-essential	0	0	4	SAUSA300_RS10855	ArgE/DapE family deacylase	SAUSA300_1976
SAUSA300_1977	always non-essential	0	0	4	SAUSA300_RS10860	class I SAM-dependent methyltransferase	SAUSA300_1977
SAUSA300_1978	always non-essential	0	0	4	SAUSA300_RS10865	iron-hydroxamate ABC transporter substrate-binding protein	SAUSA300_1978
SAUSA300_1979	always non-essential	0	0	4	SAUSA300_RS10870	TrkH family potassium uptake protein	SAUSA300_1979
SAUSA300_1980	always non-essential	0	0	4	SAUSA300_RS10875	GNAT family N-acetyltransferase	SAUSA300_1980
SAUSA300_1981	always non-essential	0	0	4	SAUSA300_RS10885	terminase small subunit	SAUSA300_1981
SAUSA300_1984	always non-essential	0	0	4	SAUSA300_RS10910	CPBP family intramembrane metalloprotease MroQ	SAUSA300_1984
SAUSA300_1986	always non-essential	0	0	4	SAUSA300_RS10920	nitroreductase family protein	SAUSA300_1986
SAUSA300_1987	always non-essential	0	0	4	SAUSA300_RS10925	carbon-nitrogen family hydrolase	SAUSA300_1987
SAUSA300_1988	inconsistent replicates	2	2	4	SAUSA300_RS10930	delta-lysin family phenol-soluble modulin	SAUSA300_1988
SAUSA300_1993	always non-essential	0	0	4	SAUSA300_RS10960	carbohydrate kinase	SAUSA300_1993
SAUSA300_1997	always non-essential	0	0	4	SAUSA300_RS10980	sulfurtransferase TusA family protein	SAUSA300_1997
SAUSA300_1998	always non-essential	0	0	4	SAUSA300_RS10985	YeeE/YedE family protein	SAUSA300_1998
SAUSA300_2001	always non-essential	0	0	4	SAUSA300_RS11005	MutS family DNA mismatch repair protein	SAUSA300_2001
SAUSA300_2002	always essential	4	4	4	NA	NA	NA
SAUSA300_2004	always essential	4	4	4	NA	NA	NA
SAUSA300_2005	always essential	4	4	4	NA	NA	NA
SAUSA300_2018	probably always non-essential	0	1	4	SAUSA300_RS11100	tRNA-Gly	SAUSA300_2018
SAUSA300_2019	inconsistent replicates	2	3	4	NA	NA	NA
SAUSA300_2020	always non-essential	0	0	4	SAUSA300_RS11110	SprT family protein	SAUSA300_2020
SAUSA300_2021	always non-essential	0	0	4	SAUSA300_RS11115	RNA-binding transcriptional accessory protein	SAUSA300_2021
SAUSA300_2026	always non-essential	0	0	4	SAUSA300_RS11145	type II toxin-antitoxin system PemK/MazF family toxin	SAUSA300_2026
SAUSA300_2029	always non-essential	0	0	4	SAUSA300_RS11165	PH domain-containing protein	SAUSA300_2029
SAUSA300_2030	always non-essential	0	0	4	SAUSA300_RS11170	PH domain-containing protein	SAUSA300_2030
SAUSA300_2031	always non-essential	0	0	4	SAUSA300_RS11175	hypothetical protein	SAUSA300_2031
SAUSA300_2037	probably always non-essential	1	0	4	SAUSA300_RS11210	DEAD/DEAH box helicase	SAUSA300_2037
SAUSA300_2040	always non-essential	0	0	4	SAUSA300_RS11225	rod shape-determining protein RodA	SAUSA300_2040
SAUSA300_2041	always non-essential	0	0	4	SAUSA300_RS11230	hypothetical protein	SAUSA300_2041
SAUSA300_2042	always non-essential	0	0	4	SAUSA300_RS11235	heavy-metal-associated domain-containing protein	SAUSA300_2042
SAUSA300_2043	always non-essential	0	0	4	NA	NA	NA
SAUSA300_2045	always non-essential	0	0	4	SAUSA300_RS11250	HD domain-containing protein	SAUSA300_2045
SAUSA300_2050	always non-essential	0	0	4	NA	NA	NA
SAUSA300_2051	always non-essential	0	0	4	NA	NA	NA
SAUSA300_2052	always non-essential	0	0	4	SAUSA300_RS11300	single-stranded DNA-binding protein	SAUSA300_2052
SAUSA300_2053	always non-essential	0	0	4	SAUSA300_RS11305	YwpF-like family protein	SAUSA300_2053
SAUSA300_2056	always non-essential	0	0	4	SAUSA300_RS11320	DUF1146 family protein	SAUSA300_2056
SAUSA300_2065	always non-essential	0	0	4	NA	NA	NA
SAUSA300_2068	always non-essential	0	0	4	SAUSA300_RS11390	TIGR01440 family protein	SAUSA300_2068
SAUSA300_2069	always non-essential	0	0	4	SAUSA300_RS11395	low molecular weight protein arginine phosphatase	SAUSA300_2069
SAUSA300_2070	probably always essential	3	4	4	SAUSA300_RS11400	threonylcarbamoyl-AMP synthase	SAUSA300_2070
SAUSA300_2071	always non-essential	0	0	4	NA	NA	NA
SAUSA300_2076	always non-essential	0	0	4	SAUSA300_RS11430	aldehyde dehydrogenase family protein	SAUSA300_2076
SAUSA300_2077	always non-essential	0	0	4	SAUSA300_RS11435	helix-turn-helix transcriptional regulator	SAUSA300_2077
SAUSA300_2080	always non-essential	0	0	4	SAUSA300_RS11450	DUF2529 domain-containing protein	SAUSA300_2080
SAUSA300_2083	always non-essential	0	0	4	SAUSA300_RS11465	GNAT family N-acetyltransferase	SAUSA300_2083
SAUSA300_2085	always non-essential	0	0	4	SAUSA300_RS11480	DUF2750 domain-containing protein	SAUSA300_2085
SAUSA300_2086	always non-essential	0	0	4	SAUSA300_RS11485	hypothetical protein	SAUSA300_2086
SAUSA300_2087	always non-essential	0	0	4	SAUSA300_RS11490	M20 family metallopeptidase	SAUSA300_2087
SAUSA300_2093	always non-essential	0	0	4	SAUSA300_RS11530	thiol-disulfide oxidoreductase DCC family protein	SAUSA300_2093
SAUSA300_2094	always non-essential	0	0	4	SAUSA300_RS11535	EVE domain-containing protein	SAUSA300_2094
SAUSA300_2095	always non-essential	0	0	4	SAUSA300_RS11540	hypothetical protein	SAUSA300_2095
SAUSA300_2097	always non-essential	0	0	4	SAUSA300_RS11550	SDR family oxidoreductase	SAUSA300_2097
SAUSA300_2099	always non-essential	0	0	4	NA	NA	NA
SAUSA300_2100	always non-essential	0	0	4	SAUSA300_RS11565	lytic regulatory protein	SAUSA300_2100
SAUSA300_2101	always non-essential	0	0	4	SAUSA300_RS11580	SAP domain-containing protein	SAUSA300_2101
SAUSA300_2102	probably always non-essential	1	0	4	SAUSA300_RS11590	Cof-type HAD-IIB family hydrolase	SAUSA300_2102
SAUSA300_2103	always non-essential	0	0	4	SAUSA300_RS11595	ABC transporter ATP-binding protein	SAUSA300_2103
SAUSA300_2106	always non-essential	0	0	4	SAUSA300_RS11610	BglG family transcription antiterminator	SAUSA300_2106
SAUSA300_2112	always non-essential	0	0	4	SAUSA300_RS11635	YbbR-like domain-containing protein	SAUSA300_2112
SAUSA300_2113	always essential	4	4	4	SAUSA300_RS11640	diadenylate cyclase CdaA	SAUSA300_2113
SAUSA300_2116	probably always non-essential	1	0	4	SAUSA300_RS11655	tRNA-Lys	SAUSA300_2116
SAUSA300_2117	always essential	4	4	4	SAUSA300_RS11660	tRNA-Gln	SAUSA300_2117
SAUSA300_2118	inconsistent replicates	2	3	4	NA	NA	NA
SAUSA300_2119	always essential	4	4	4	SAUSA300_RS11670	tRNA-Val	SAUSA300_2119
SAUSA300_2120	inconsistent replicates	4	2	4	SAUSA300_RS11675	tRNA-Glu	SAUSA300_2120
SAUSA300_2121	always essential	4	4	4	NA	NA	NA
SAUSA300_2125	always non-essential	0	0	4	SAUSA300_RS11705	P-loop NTPase	SAUSA300_2125
SAUSA300_2126	always non-essential	0	0	4	NA	NA	NA
SAUSA300_2127	always non-essential	0	0	4	NA	NA	NA
SAUSA300_2128	always non-essential	0	0	4	SAUSA300_RS11720	MFS transporter	SAUSA300_2128
SAUSA300_2129	probably always non-essential	1	1	4	SAUSA300_RS11725	hemolysin III family protein	SAUSA300_2129
SAUSA300_2130	always non-essential	0	0	4	SAUSA300_RS11730	UDPGP type 1 family protein	SAUSA300_2130
SAUSA300_2131	always non-essential	0	0	4	SAUSA300_RS11735	metal-dependent hydrolase	SAUSA300_2131
SAUSA300_2132	probably always non-essential	1	0	4	SAUSA300_RS11740	hypothetical protein	SAUSA300_2132
SAUSA300_2133	always non-essential	0	0	4	SAUSA300_RS11745	YjiH family protein	SAUSA300_2133
SAUSA300_2134	always non-essential	0	0	4	SAUSA300_RS11750	iron chelate uptake ABC transporter family permease subunit	SAUSA300_2134
SAUSA300_2135	always non-essential	0	0	4	SAUSA300_RS11755	iron ABC transporter permease	SAUSA300_2135
SAUSA300_2136	always non-essential	0	0	4	SAUSA300_RS11760	ABC transporter substrate-binding protein	SAUSA300_2136
SAUSA300_2137	always non-essential	0	0	4	NA	NA	NA
SAUSA300_2138	always non-essential	0	0	4	NA	NA	NA
SAUSA300_2139	always non-essential	0	0	4	NA	NA	NA
SAUSA300_2140	always non-essential	0	0	4	NA	NA	NA
SAUSA300_2141	inconsistent replicates	2	1	4	SAUSA300_RS15545	IS1182 family transposase	SAUSA300_2141
SAUSA300_2143	always non-essential	0	0	4	SAUSA300_RS11810	DUF2273 domain-containing protein	SAUSA300_2143
SAUSA300_2144	always non-essential	0	0	4	NA	NA	NA
SAUSA300_2145	always non-essential	0	0	4	SAUSA300_RS11820	BCCT family transporter	SAUSA300_2145
SAUSA300_2146	always non-essential	0	0	4	SAUSA300_RS11825	zinc-binding alcohol dehydrogenase family protein	SAUSA300_2146
SAUSA300_2147	always non-essential	0	0	4	SAUSA300_RS11830	NADP-dependent oxidoreductase	SAUSA300_2147
SAUSA300_2148	always non-essential	0	0	4	SAUSA300_RS11835	alpha/beta hydrolase	SAUSA300_2148
SAUSA300_2156	always non-essential	0	0	4	SAUSA300_RS11875	DeoR/GlpR family DNA-binding transcription regulator	SAUSA300_2156
SAUSA300_2157	always non-essential	0	0	4	SAUSA300_RS11880	NAD-dependent protein deacylase	SAUSA300_2157
SAUSA300_2158	always non-essential	0	0	4	SAUSA300_RS11890	DUF3885 domain-containing protein	SAUSA300_2158
SAUSA300_2159	always non-essential	0	0	4	SAUSA300_RS11900	aldo/keto reductase	SAUSA300_2159
SAUSA300_2160	always non-essential	0	0	4	SAUSA300_RS11905	MerR family transcriptional regulator	SAUSA300_2160
SAUSA300_2162	always non-essential	0	0	4	SAUSA300_RS11920	M23 family metallopeptidase	SAUSA300_2162
SAUSA300_2163	always non-essential	0	0	4	SAUSA300_RS11925	HAD-IIB family hydrolase	SAUSA300_2163
SAUSA300_2164	always non-essential	0	0	4	SAUSA300_RS11930	MAP domain-containing protein	SAUSA300_2164
SAUSA300_2167	always non-essential	0	0	4	SAUSA300_RS11955	hypothetical protein	SAUSA300_2167
SAUSA300_2168	always non-essential	0	0	4	SAUSA300_RS11960	AAA family ATPase	SAUSA300_2168
SAUSA300_2169	always non-essential	0	0	4	SAUSA300_RS11965	DUF6414 family protein	SAUSA300_2169
SAUSA300_2170	always non-essential	0	0	4	SAUSA300_RS11975	hypothetical protein	SAUSA300_2170
SAUSA300_2174	always non-essential	0	0	4	SAUSA300_RS12000	energy-coupling factor transporter transmembrane protein EcfT	SAUSA300_2174
SAUSA300_2175	essential in control	4	0	4	SAUSA300_RS12005	energy-coupling factor transporter ATPase	SAUSA300_2175
SAUSA300_2176	essential in control	4	0	4	SAUSA300_RS12010	energy-coupling factor transporter ATPase	SAUSA300_2176
SAUSA300_2184	always essential	4	4	4	NA	NA	NA
SAUSA300_2206	always non-essential	0	0	4	SAUSA300_RS12160	hypothetical protein	SAUSA300_2206
SAUSA300_2207	always non-essential	0	0	4	SAUSA300_RS12165	NCS2 family permease	SAUSA300_2207
SAUSA300_2209	always non-essential	0	0	4	SAUSA300_RS12180	GNAT family N-acetyltransferase	SAUSA300_2209
SAUSA300_2211	always non-essential	0	0	4	SAUSA300_RS12195	AEC family transporter	SAUSA300_2211
SAUSA300_2212	always non-essential	0	0	4	SAUSA300_RS12200	hypothetical protein	SAUSA300_2212
