"Gene"	"Essentiality"	"Control"	"Condition"	"Replicates"	"LESB_Locus"	"PAO1_Locus"	"PA14_Locus"	"LESB_Description"	"LESB_PGD_ID"	"PAO1_Locus_1"	"PAO1_Gene"	"PAO1_Description"	"PAO1_Accession"	"PAO1_PGD_ID"	"PA14_Locus_1"	"PA14_Gene"	"PA14_Description"	"PA14_Accession"	"PA14_PGD_ID"
"PALES_39291"	"probably always non-essential"	0	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PALES_39351"	"always essential"	4	4	4	"PALES_39351"	"PA1478"	"PA14_45340"	"putative heme exporter protein"	"PGD251973"	"PA1478"	"PA1478"	"hypothetical protein"	"NP_250169.1 ; WP_003083136.1"	"PGD105724"	"PA14_45340"	"PA14_45340"	"heme exporter protein"	"YP_791776.1 ; WP_003083136.1"	"PGD1658156"
"PALES_39391"	"probably always essential"	3	4	4	"PALES_39391"	"PA1474"	"PA14_45400"	"hypothetical protein"	"PGD251981"	"PA1474"	"PA1474"	"hypothetical protein"	"NP_250165.1 ; WP_010895570.1"	"PGD105716"	"PA14_45400"	"PA14_45400"	"hypothetical protein"	"YP_791780.1 ; WP_003111333.1"	"PGD1658164"
"PALES_39401"	"inconsistent replicates"	0	3	4	"PALES_39401"	"PA1473"	"PA14_45410"	"putative FlhB domain protein"	"PGD251983"	"PA1473"	"PA1473"	"hypothetical protein"	"NP_250164.1 ; WP_003083121.1"	"PGD105714"	"PA14_45410"	"PA14_45410"	"FlhB domain-containing protein"	"YP_791781.1 ; WP_003111332.1"	"PGD1658166"
"PALES_39411"	"inconsistent replicates"	0	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PALES_39421"	"inconsistent replicates"	2	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PALES_39431"	"inconsistent replicates"	1	4	4	"PALES_39431"	"PA1470"	"PA14_45430"	"short chain dehydrogenase"	"PGD251989"	"PA1470"	"PA1470"	"probable short-chain dehydrogenase"	"NP_250161.1 ; WP_003114285.1"	"PGD105708"	"PA14_45430"	"PA14_45430"	"short chain dehydrogenase"	"YP_791782.1 ; WP_003111330.1"	"PGD1658168"
"PALES_39441"	"always non-essential"	0	0	4	"PALES_39441"	"PA1469"	"PA14_45440"	"hypothetical protein"	"PGD251991"	"PA1469"	"PA1469"	"hypothetical protein"	"NP_250160.1 ; WP_003087130.1"	"PGD105706"	"PA14_45440"	"PA14_45440"	"hypothetical protein"	"YP_791783.1 ; WP_003087130.1"	"PGD1658170"
"PALES_39451"	"probably always essential"	4	3	4	"PALES_39451"	"PA1468"	"PA14_45450"	"hypothetical protein"	"PGD251993"	"PA1468"	"PA1468"	"hypothetical protein"	"NP_250159.1 ; WP_003083108.1"	"PGD105704"	"PA14_45450"	"PA14_45450"	"hypothetical protein"	"YP_791784.1 ; WP_003087127.1"	"PGD1658172"
"PALES_39461"	"inconsistent replicates"	0	2	4	"PALES_39461"	"PA1467"	"PA14_45460"	"putative transcriptional regulator"	"PGD251995"	"PA1467"	"PA1467"	"hypothetical protein"	"NP_250158.1 ; WP_003083105.1"	"PGD105702"	"PA14_45460"	"PA14_45460"	"hypothetical protein"	"YP_791785.1 ; WP_003140266.1"	"PGD1658174"
"PALES_39471"	"probably always non-essential"	0	1	4	"PALES_39471"	"PA1466"	"PA14_45470"	"putative glutathione S-transferase"	"PGD251997"	"PA1466"	"PA1466"	"hypothetical protein"	"NP_250157.1 ; WP_003114283.1"	"PGD105700"	"PA14_45470"	"PA14_45470"	"hypothetical protein"	"YP_791786.1 ; WP_003111328.1"	"PGD1658176"
"PALES_39481"	"always essential"	4	4	4	"PALES_39481"	"PA1465"	"PA14_45480"	"hypothetical protein"	"PGD251999"	"PA1465"	"PA1465"	"hypothetical protein"	"NP_250156.1 ; WP_003083101.1"	"PGD105698"	"PA14_45480"	"PA14_45480"	"hypothetical protein"	"YP_791787.1 ; WP_003083101.1"	"PGD1658178"
"PALES_39491"	"probably always non-essential"	0	1	4	"PALES_39491"	"PA1464"	"PA14_45500"	"putative purine-binding chemotaxis protein"	"PGD252001"	"PA1464"	"PA1464"	"probable purine-binding chemotaxis protein"	"NP_250155.1 ; WP_003083098.1"	"PGD105696"	"PA14_45500"	"PA14_45500"	"purine-binding chemotaxis protein"	"YP_791788.1 ; WP_003083098.1"	"PGD1658180"
"PALES_39501"	"inconsistent replicates"	2	4	4	"PALES_39501"	"PA1463"	"PA14_45510"	"putative CheW domain protein"	"PGD252003"	"PA1463"	"PA1463"	"hypothetical protein"	"NP_250154.1 ; WP_003083094.1"	"PGD105694"	"PA14_45510"	"PA14_45510"	"CheW domain-containing protein"	"YP_791789.1 ; WP_003111327.1"	"PGD1658182"
"PALES_39511"	"inconsistent replicates"	0	2	4	"PALES_39511"	"PA1462"	"PA14_45520"	"putative plasmid partitioning protein"	"PGD252005"	"PA1462"	"PA1462"	"probable plasmid partitioning protein"	"NP_250153.1 ; WP_003083092.1"	"PGD105692"	"PA14_45520"	"PA14_45520"	"plasmid partitioning protein"	"YP_791790.1 ; WP_003083092.1"	"PGD1658184"
"PALES_39541"	"inconsistent replicates"	0	2	4	"PALES_39541"	"PA1459"	"PA14_45580"	"chemotaxis-specific methylesterase"	"PGD252011"	"PA1459"	"PA1459"	"probable methyltransferase"	"NP_250150.1 ;"	"PGD105686"	"PA14_45580"	"PA14_45580"	"chemotaxis-specific methylesterase"	"YP_791793.1 ; WP_003087115.1"	"PGD1658190"
"PALES_39551"	"probably always non-essential"	1	1	4	"PALES_39551"	"PA1458"	"PA14_45590"	"putative two-component sensor"	"PGD252013"	"PA1458"	"PA1458"	"probable two-component sensor"	"NP_250149.1 ; WP_003114282.1"	"PGD105684"	"PA14_45590"	"PA14_45590"	"two-component sensor"	"YP_791794.1 ; WP_011666718.1"	"PGD1658192"
"PALES_39621"	"always non-essential"	0	0	4	"PALES_39621"	"PA1451"	"PA14_45700"	"hypothetical protein"	"PGD252027"	"PA1451"	"PA1451"	"conserved hypothetical protein"	"NP_250142.1 ; WP_003114280.1"	"PGD105670"	"PA14_45700"	"PA14_45700"	"hypothetical protein"	"YP_791801.1 ; WP_003140275.1"	"PGD1658206"
"PALES_39631"	"probably always non-essential"	0	1	4	"PALES_39631"	"PA1450"	"PA14_45710"	"hypothetical protein"	"PGD252029"	"PA1450"	"PA1450"	"conserved hypothetical protein"	"NP_250141.1 ; WP_003114279.1"	"PGD105668"	"PA14_45710"	"PA14_45710"	"hypothetical protein"	"YP_791802.1 ; WP_003140276.1"	"PGD1658208"
"PALES_39711"	"probably always non-essential"	0	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PALES_39721"	"inconsistent replicates"	0	2	4	"PALES_39721"	"PA1441"	"PA14_45830"	"putative flagellar hook-length control protein FliK"	"PGD252047"	"PA1441"	"PA1441"	"putative flagellar hook-length control protein FliK"	"NP_250132.1 ; WP_010895568.1"	"PGD105650"	"PA14_45830"	"PA14_45830"	"hypothetical protein"	"YP_791811.1 ; WP_003140280.1"	"PGD1658226"
"PALES_39731"	"inconsistent replicates"	2	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PALES_39741"	"inconsistent replicates"	2	3	4	"PALES_39741"	"PA1440"	"PA14_45840"	"hypothetical protein"	"PGD252051"	"PA1440"	"PA1440"	"hypothetical protein"	"NP_250131.1 ; WP_003083037.1"	"PGD105648"	"PA14_45840"	"PA14_45840"	"hypothetical protein"	"YP_791812.1 ; WP_003083037.1"	"PGD1658228"
"PALES_39751"	"always non-essential"	0	0	4	"PALES_39751"	"PA1439"	"PA14_45850"	"hypothetical protein"	"PGD252053"	"PA1439"	"PA1439"	"conserved hypothetical protein"	"NP_250130.1 ; WP_003087079.1"	"PGD105646"	"PA14_45850"	"PA14_45850"	"hypothetical protein"	"YP_791813.1 ; WP_003087079.1"	"PGD1658230"
"PALES_39761"	"inconsistent replicates"	1	2	4	"PALES_39761"	"PA1438"	"PA14_45870"	"putative two-component sensor"	"PGD252055"	"PA1438"	"PA1438"	"probable two-component sensor"	"NP_250129.1 ; WP_003083034.1"	"PGD105644"	"PA14_45870"	"PA14_45870"	"two-component sensor"	"YP_791814.1 ; WP_003140283.1"	"PGD1658232"
"PALES_39771"	"inconsistent replicates"	2	4	4	"PALES_39771"	"PA1437"	"PA14_45880"	"putative two-component response regulator"	"PGD252057"	"PA1437"	"PA1437"	"probable two-component response regulator"	"NP_250128.1 ; WP_003083028.1"	"PGD105642"	"PA14_45880"	"PA14_45880"	"two-component response regulator"	"YP_791815.1 ; WP_003083028.1"	"PGD1658234"
"PALES_39781"	"probably always non-essential"	0	1	4	"PALES_39781"	"PA1436"	"PA14_45890"	"putative Resistance-Nodulation-Cell Division (RND) efflux transporter"	"PGD252059"	"PA1436"	"PA1436"	"probable Resistance-Nodulation-Cell Division (RND) efflux transporter"	"NP_250127.1 ; WP_003147398.1"	"PGD105640"	"PA14_45890"	"PA14_45890"	"RND efflux transporter"	"YP_791816.1 ; WP_003140284.1"	"PGD1658236"
"PALES_39791"	"probably always essential"	3	4	4	"PALES_39791"	"PA1435"	"PA14_45910"	"putative Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein precursor"	"PGD252061"	"PA1435"	"PA1435"	"probable Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein precursor"	"NP_250126.1 ; WP_003112437.1"	"PGD105638"	"PA14_45910"	"PA14_45910"	"RND efflux membrane fusion protein"	"YP_791817.1 ; WP_003140285.1"	"PGD1658238"
"PALES_39801"	"inconsistent replicates"	1	3	4	"PALES_39801"	"PA1434"	"PA14_45920"	"putative periplasmic protein"	"PGD252063"	"PA1434"	"PA1434"	"hypothetical protein"	"NP_250125.1 ; WP_003083022.1"	"PGD105636"	"PA14_45920"	"PA14_45920"	"hypothetical protein"	"YP_791818.1 ; WP_003140286.1"	"PGD1658240"
"PALES_39811"	"conditionally essential"	0	4	4	"PALES_39811"	"PA1433"	"PA14_45930"	"hypothetical protein"	"PGD252065"	"PA1433"	"PA1433"	"conserved hypothetical protein"	"NP_250124.1 ; WP_003112436.1"	"PGD105634"	"PA14_45930"	"PA14_45930"	"hypothetical protein"	"YP_791819.1 ; WP_003083019.1"	"PGD1658242"
"PALES_39851"	"inconsistent replicates"	0	2	4	"PALES_39851"	"PA1429"	"PA14_45970"	"putative cation-transporting P-type ATPase"	"PGD252073"	"PA1429"	"PA1429"	"probable cation-transporting P-type ATPase"	"NP_250120.1 ; WP_003112435.1"	"PGD105626"	"PA14_45970"	"PA14_45970"	"cation-transporting P-type ATPase"	"YP_791823.1 ; WP_003087057.1"	"PGD1658250"
"PALES_39861"	"inconsistent replicates"	0	2	4	"PALES_39861"	"PA1428"	"PA14_45980"	"putative acetyltransferase"	"PGD252075"	"PA1428"	"PA1428"	"conserved hypothetical protein"	"NP_250119.1 ; WP_003082981.1"	"PGD105624"	"PA14_45980"	"PA14_45980"	"acetyltransferase"	"YP_791824.1 ; WP_003140292.1"	"PGD1658252"
"PALES_39871"	"inconsistent replicates"	0	2	4	"PALES_39871"	"PA1426"	"PA14_46000"	"hypothetical protein"	"PGD252077"	"PA1426"	"PA1426"	"hypothetical protein"	"NP_250117 ; WP_003082978.1"	"PGD105620"	"PA14_46000"	"PA14_46000"	"hypothetical protein"	"YP_791825.1 ; WP_003082978.1"	"PGD1658254"
"PALES_39881"	"inconsistent replicates"	1	3	4	"PALES_39881"	"PA1425"	"PA14_46010"	"putative ATP-binding component of ABC transporter"	"PGD252079"	"PA1425"	"PA1425"	"probable ATP-binding component of ABC transporter"	"NP_250116.1 ; WP_010895566.1"	"PGD105618"	"PA14_46010"	"PA14_46010"	"ABC transporter ATP-binding protein"	"YP_791826.1 ; WP_003140295.1"	"PGD1658256"
"PALES_39891"	"inconsistent replicates"	2	4	4	"PALES_39891"	"PA1424"	"PA14_46020"	"hypothetical protein"	"PGD252081"	"PA1424"	"PA1424"	"hypothetical protein"	"NP_250115.1 ; WP_003082973.1"	"PGD105616"	"PA14_46020"	"PA14_46020"	"hypothetical protein"	"YP_791827.1 ; WP_003087029.1"	"PGD1658258"
"PALES_39901"	"probably always non-essential"	0	1	4	"PALES_39901"	"PA1423"	"PA14_46030"	"putative chemotaxis transducer"	"PGD252083"	"PA1423"	"bdlA"	"BdlA"	"NP_250114.1 ; WP_003082971.1"	"PGD105614"	"PA14_46030"	"PA14_46030"	"chemotaxis transducer"	"YP_791828.1 ; WP_003140296.1"	"PGD1658260"
"PALES_39931"	"inconsistent replicates"	0	2	4	"PALES_39931"	"PA1420"	"PA14_46080"	"hypothetical protein"	"PGD252089"	"PA1420"	"PA1420"	"hypothetical protein"	"NP_250111.1 ; WP_003112430.1"	"PGD105608"	"PA14_46080"	"PA14_46080"	"hypothetical protein"	"YP_791831.1 ; WP_003109911.1"	"PGD1658266"
"PALES_39941"	"inconsistent replicates"	0	2	4	"PALES_39941"	"PA1419"	"PA14_46100"	"putative transporter"	"PGD252091"	"PA1419"	"PA1419"	"probable transporter"	"NP_250110.1 ; WP_003112429.1"	"PGD105606"	"PA14_46100"	"PA14_46100"	"transporter"	"YP_791832.1 ; WP_003140298.1"	"PGD1658268"
"PALES_39951"	"probably always non-essential"	0	1	4	"PALES_39951"	"PA1418"	"PA14_46110"	"putative sodium:solute symport protein"	"PGD252093"	"PA1418"	"PA1418"	"probable sodium:solute symport protein"	"NP_250109.1 ; WP_003100479.1"	"PGD105604"	"PA14_46110"	"PA14_46110"	"sodium:solute symport protein"	"YP_791833.1 ; WP_003087011.1"	"PGD1658270"
"PALES_39961"	"inconsistent replicates"	0	2	4	"PALES_39961"	"PA1417"	"PA14_46120"	"hypothetical protein"	"PGD252095"	"PA1417"	"PA1417"	"probable decarboxylase"	"NP_250108.1 ; WP_003112428.1"	"PGD105602"	"PA14_46120"	"PA14_46120"	"hypothetical protein"	"YP_791834.1 ; WP_003122953.1"	"PGD1658272"
"PALES_39971"	"inconsistent replicates"	1	3	4	"PALES_39971"	"PA1416"	"PA14_46140"	"putative oxidoreductase"	"PGD252097"	"PA1416"	"PA1416"	"conserved hypothetical protein"	"NP_250107.1 ; WP_003087009.1"	"PGD105600"	"PA14_46140"	"PA14_46140"	"hypothetical protein"	"YP_791835.1 ; WP_003087009.1"	"PGD1658274"
"PALES_39981"	"inconsistent replicates"	1	2	4	"PALES_39981"	"PA1415"	"PA14_46150"	"putative hydrolase"	"PGD252099"	"PA1415"	"PA1415"	"hypothetical protein"	"NP_250106.1 ; WP_003112427.1"	"PGD105598"	"PA14_46150"	"PA14_46150"	"hypothetical protein"	"YP_791836.1 ; WP_003082954.1"	"PGD1658276"
"PALES_39991"	"inconsistent replicates"	1	3	4	"PALES_39991"	"PA1414"	"PA14_46160"	"hypothetical protein"	"PGD252101"	"PA1414"	"PA1414"	"hypothetical protein"	"NP_250105.1 ; WP_003082952.1"	"PGD105596"	"PA14_46160"	"PA14_46160"	"hypothetical protein"	"YP_791837.1 ; WP_003082952.1"	"PGD1658278"
"PALES_40001"	"conditionally essential"	0	4	4	"PALES_40001"	"PA1413"	"PA14_46170"	"putative transcriptional regulator"	"PGD252103"	"PA1413"	"PA1413"	"probable transcriptional regulator"	"NP_250104.1 ; WP_003082949.1"	"PGD105594"	"PA14_46170"	"PA14_46170"	"LysR family transcriptional regulator"	"YP_791838.1 ; WP_003087005.1"	"PGD1658280"
"PALES_40011"	"inconsistent replicates"	2	4	4	"PALES_40011"	"PA1412"	"PA14_46180"	"hypothetical protein"	"PGD252105"	"PA1412"	"PA1412"	"hypothetical protein"	"NP_250103.1 ; WP_003115602.1"	"PGD105592"	"PA14_46180"	"PA14_46180"	"hypothetical protein"	"YP_791839.1 ; WP_003105421.1"	"PGD1658282"
"PALES_40021"	"inconsistent replicates"	0	3	4	"PALES_40021"	"PA1411"	"PA14_46200"	"hypothetical protein"	"PGD252107"	"PA1411"	"PA1411"	"hypothetical protein"	"NP_250102.1 ; WP_003082945.1"	"PGD105590"	"PA14_46200"	"PA14_46200"	"hypothetical protein"	"YP_791840.1 ; WP_003122956.1"	"PGD1658284"
"PALES_40031"	"always non-essential"	0	0	4	"PALES_40031"	"PA1410"	"PA14_46220"	"putative periplasmic spermidine/putrescine-binding protein"	"PGD252109"	"PA1410"	"PA1410"	"probable periplasmic spermidine/putrescine-binding protein"	"NP_250101.1 ; WP_003082943.1"	"PGD105588"	"PA14_46220"	"PA14_46220"	"periplasmic spermidine/putrescine-binding protein"	"YP_791841.1 ; WP_003140299.1"	"PGD1658286"
"PALES_40051"	"inconsistent replicates"	0	3	4	"PALES_40051"	"PA1408"	"PA14_46240"	"putative mechanosensitive ion channel family protein"	"PGD252113"	"PA1408"	"PA1408"	"hypothetical protein"	"NP_250099.1 ; WP_003112423.1"	"PGD105584"	"PA14_46240"	"PA14_46240"	"hypothetical protein"	"YP_791843.1 ; WP_003140301.1"	"PGD1658290"
"PALES_40061"	"inconsistent replicates"	0	2	4	"PALES_40061"	"PA1407"	"PA14_46250"	"putative SAM-dependent methyltransferase"	"PGD252115"	"PA1407"	"PA1407"	"hypothetical protein"	"NP_250098.1 ; WP_003112422.1"	"PGD105582"	"PA14_46250"	"PA14_46250"	"hypothetical protein"	"YP_791844.1 ; WP_003086994.1"	"PGD1658292"
"PALES_40071"	"inconsistent replicates"	1	4	4	"PALES_40071"	"PA1406"	"PA14_46260"	"hypothetical protein"	"PGD252117"	"PA1406"	"PA1406"	"hypothetical protein"	"NP_250097.1 ; WP_003112421.1"	"PGD105580"	"PA14_46260"	"PA14_46260"	"hypothetical protein"	"YP_791845.1 ; WP_003140302.1"	"PGD1658294"
"PALES_40081"	"inconsistent replicates"	1	2	4	"PALES_40081"	"PA1405"	"PA14_46270"	"putative helicase"	"PGD252119"	"PA1405"	"PA1405"	"probable helicase"	"NP_250096.1 ; WP_010895565.1"	"PGD105578"	"PA14_46270"	"PA14_46270"	"helicase"	"YP_791846.1 ; WP_003140304.1"	"PGD1658296"
"PALES_40091"	"probably always essential"	3	4	4	"PALES_40091"	"PA1404"	"PA14_46280"	"hypothetical protein"	"PGD252121"	"PA1404"	"PA1404"	"hypothetical protein"	"NP_250095.1 ; WP_003082927.1"	"PGD105576"	"PA14_46280"	"PA14_46280"	"hypothetical protein"	"YP_791847.1 ; WP_003082927.1"	"PGD1658298"
"PALES_40101"	"probably always essential"	3	4	4	"PALES_40101"	"PA1403"	"PA14_46290"	"putative transcriptional regulator"	"PGD252123"	"PA1403"	"PA1403"	"probable transcriptional regulator"	"NP_250094.1 ; WP_003112419.1"	"PGD105574"	"PA14_46290"	"PA14_46290"	"TetR family transcriptional regulator"	"YP_791848.1 ; WP_003140307.1"	"PGD1658300"
"PALES_40111"	"probably always non-essential"	0	1	4	"PALES_40111"	"PA1402"	"PA14_46300"	"putative O-methyltransferase"	"PGD252125"	"PA1402"	"PA1402"	"hypothetical protein"	"NP_250093.1 ; WP_003082920.1"	"PGD105572"	"PA14_46300"	"PA14_46300"	"hypothetical protein"	"YP_791849.1 ; WP_003140309.1"	"PGD1658302"
"PALES_40121"	"conditionally essential"	0	4	4	"PALES_40121"	"PA1401"	"PA14_46310"	"putative ester cyclase"	"PGD252127"	"PA1401"	"PA1401"	"hypothetical protein"	"NP_250092.1 ; WP_003112418.1"	"PGD105570"	"PA14_46310"	"PA14_46310"	"hypothetical protein"	"YP_791850.1 ; WP_003140311.1"	"PGD1658304"
"PALES_40131"	"inconsistent replicates"	0	3	4	"PALES_40131"	"PA1400"	"PA14_46320"	"putative pyruvate carboxylase"	"PGD252129"	"PA1400"	"PA1400"	"probable pyruvate carboxylase"	"NP_250091.1 ; WP_003112417.1"	"PGD105568"	"PA14_46320"	"PA14_46320"	"pyruvate carboxylase"	"YP_791851.1 ; WP_003140313.1"	"PGD1658306"
"PALES_40141"	"inconsistent replicates"	2	0	4	"PALES_40141"	"PA1399"	"PA14_46330"	"putative transcriptional regulator"	"PGD252131"	"PA1399"	"PA1399"	"probable transcriptional regulator"	"NP_250090.1 ; WP_003112416.1"	"PGD105566"	"PA14_46330"	"PA14_46330"	"transcriptional regulator"	"YP_791852.1 ; WP_003140315.1"	"PGD1658308"
"PALES_40151"	"inconsistent replicates"	1	2	4	"PALES_40151"	"PA1398"	"PA14_46340"	"hypothetical protein"	"PGD252133"	"PA1398"	"PA1398"	"hypothetical protein"	"NP_250089.1 ; WP_003082903.1"	"PGD105564"	"PA14_46340"	"PA14_46340"	"hypothetical protein"	"YP_791853.1 ; WP_003086981.1"	"PGD1658310"
"PALES_40161"	"inconsistent replicates"	2	4	4	"PALES_40161"	"PA1397"	"PA14_46360"	"putative two-component response regulator"	"PGD252135"	"PA1397"	"PA1397"	"probable two-component response regulator"	"NP_250088.1 ; WP_003112415.1"	"PGD105562"	"PA14_46360"	"PA14_46360"	"two-component response regulator"	"YP_791854.1 ; WP_003086978.1"	"PGD1658312"
"PALES_40171"	"probably always non-essential"	1	1	4	"PALES_40171"	"PA1396"	"PA14_46370"	"putative two-component sensor"	"PGD252137"	"PA1396"	"PA1396"	"probable two-component sensor"	"NP_250087.1 ; WP_003082898.1"	"PGD105560"	"PA14_46370"	"PA14_46370"	"two-component sensor"	"YP_791855.1 ; WP_003140316.1"	"PGD1658314"
"PALES_40181"	"inconsistent replicates"	0	2	4	"PALES_40181"	"PA1395"	"PA14_46380"	"hypothetical protein"	"PGD252139"	"PA1395"	"PA1395"	"hypothetical protein"	"NP_250086.1 ; WP_003082897.1"	"PGD105558"	"PA14_46380"	"PA14_46380"	"hypothetical protein"	"YP_791856.1 ; WP_003086969.1"	"PGD1658316"
"PALES_40191"	"always essential"	4	4	4	"PALES_40191"	"PA1394"	"PA14_46390"	"hypothetical protein"	"PGD252141"	"PA1394"	"PA1394"	"hypothetical protein"	"NP_250085.1 ; WP_003115603.1"	"PGD105556"	"PA14_46390"	"PA14_46390"	"hypothetical protein"	"YP_791857.1 ; WP_003140317.1"	"PGD1658318"
"PALES_40201"	"inconsistent replicates"	0	2	4	"PALES_40201"	"PA1292"	"PA14_47500"	"putative 3-mercaptopyruvate sulfurtransferase"	"PGD252143"	"PA1292"	"PA1292"	"probable 3-mercaptopyruvate sulfurtransferase"	"NP_249983.1 ; WP_003109274.1"	"PGD105352"	"PA14_47500"	"sseA"	"3-mercaptopyruvate sulfurtransferase"	"YP_791953.1 ; WP_003109274.1"	"PGD1658510"
"PALES_40211"	"inconsistent replicates"	0	3	4	"PALES_40211"	"PA1291"	"PA14_47510"	"putative hydrolase"	"PGD252145"	"PA1291"	"PA1291"	"hypothetical protein"	"NP_249982.1 ; WP_003112358.1"	"PGD105350"	"PA14_47510"	"PA14_47510"	"hydrolase"	"YP_791954.1 ; WP_003109275.1"	"PGD1658512"
"PALES_40221"	"inconsistent replicates"	1	4	4	"PALES_40221"	"PA1290"	"PA14_47520"	"putative transcriptional regulator"	"PGD252147"	"PA1290"	"PA1290"	"probable transcriptional regulator"	"NP_249981.1 ; WP_003082643.1"	"PGD105348"	"PA14_47520"	"PA14_47520"	"transcriptional regulator"	"YP_791955.1 ; WP_003109276.1"	"PGD1658514"
"PALES_40231"	"probably always non-essential"	0	1	4	"PALES_40231"	"PA1289"	"PA14_47530"	"hypothetical protein"	"PGD252149"	"PA1289"	"PA1289"	"hypothetical protein"	"NP_249980.1 ; WP_003082640.1"	"PGD105346"	"PA14_47530"	"PA14_47530"	"hypothetical protein"	"YP_791956.1 ; WP_003082640.1"	"PGD1658516"
"PALES_40241"	"probably always non-essential"	0	1	4	"PALES_40241"	"PA1288"	"PA14_47540"	"putative outer membrane protein precursor"	"PGD252151"	"PA1288"	"PA1288"	"probable outer membrane protein precursor"	"NP_249979.1 ; WP_003082638.1"	"PGD105344"	"PA14_47540"	"PA14_47540"	"outer membrane protein"	"YP_791957.1 ; WP_003133490.1"	"PGD1658518"
"PALES_40251"	"inconsistent replicates"	0	3	4	"PALES_40251"	"PA1287"	"PA14_47550"	"putative glutathione peroxidase"	"PGD252153"	"PA1287"	"PA1287"	"probable glutathione peroxidase"	"NP_249978.1 ; WP_003082631.1"	"PGD105342"	"PA14_47550"	"PA14_47550"	"glutathione peroxidase"	"YP_791958.1 ; WP_003086801.1"	"PGD1658520"
"PALES_40261"	"probably always non-essential"	0	1	4	"PALES_40261"	"PA1286"	"PA14_47560"	"putative major facilitator superfamily (MFS) transporter"	"PGD252155"	"PA1286"	"PA1286"	"probable major facilitator superfamily (MFS) transporter"	"NP_249977.1 ; WP_003086798.1"	"PGD105340"	"PA14_47560"	"PA14_47560"	"MFS transporter"	"YP_791959.1 ; WP_003086798.1"	"PGD1658522"
"PALES_40271"	"probably always non-essential"	0	1	4	"PALES_40271"	"PA1285"	"PA14_47580"	"putative transcriptional regulator"	"PGD252157"	"PA1285"	"PA1285"	"probable transcriptional regulator"	"NP_249976.1 ; WP_010895547.1"	"PGD105338"	"PA14_47580"	"PA14_47580"	"MarR family transcriptional regulator"	"YP_791960.1 ; WP_003140393.1"	"PGD1658524"
"PALES_40281"	"inconsistent replicates"	0	2	4	"PALES_40281"	"PA1284"	"PA14_47600"	"putative acyl-CoA dehydrogenase"	"PGD252159"	"PA1284"	"PA1284"	"probable acyl-CoA dehydrogenase"	"NP_249975.1 ; WP_003086792.1"	"PGD105336"	"PA14_47600"	"PA14_47600"	"acyl-CoA dehydrogenase"	"YP_791961.1 ; WP_003109278.1"	"PGD1658526"
"PALES_40291"	"inconsistent replicates"	0	3	4	"PALES_40291"	"PA1283"	"PA14_47610"	"putative transcriptional regulator"	"PGD252161"	"PA1283"	"PA1283"	"probable transcriptional regulator"	"NP_249974.1 ; WP_003109279.1"	"PGD105334"	"PA14_47610"	"PA14_47610"	"transcriptional regulator"	"YP_791962.1 ; WP_003109279.1"	"PGD1658528"
"PALES_40301"	"inconsistent replicates"	3	2	4	"PALES_40301"	"PA1282"	"PA14_47640"	"putative major facilitator superfamily (MFS) transporter"	"PGD252163"	"PA1282"	"PA1282"	"probable major facilitator superfamily (MFS) transporter"	"NP_249973.1 ; WP_003112356.1"	"PGD105332"	"PA14_47640"	"PA14_47640"	"major facilitator transporter"	"YP_791963.1 ; WP_003109280.1"	"PGD1658530"
"PALES_40321"	"always essential"	4	4	4	"PALES_40321"	"PA1280"	"PA14_47660"	"putative alpha-ribazole-5'-phosphate phosphatase"	"PGD252167"	"PA1280"	"PA1280"	"hypothetical protein"	"NP_249971.1 ; WP_003112355.1"	"PGD105328"	"PA14_47660"	"PA14_47660"	"hypothetical protein"	"YP_791965.1 ; WP_003109283.1"	"PGD1658534"
"PALES_40381"	"inconsistent replicates"	1	3	4	"PALES_40381"	"PA1274"	"PA14_47750"	"putative nitroreductase"	"PGD252179"	"PA1274"	"PA1274"	"conserved hypothetical protein"	"NP_249965.1 ; WP_003082592.1"	"PGD105316"	"PA14_47750"	"PA14_47750"	"hypothetical protein"	"YP_791971.1 ; WP_003082592.1"	"PGD1658546"
"PALES_40411"	"inconsistent replicates"	1	3	4	"PALES_40411"	"PA1271"	"PA14_47800"	"putative tonB-dependent receptor"	"PGD252185"	"PA1271"	"PA1271"	"probable tonB-dependent receptor"	"NP_249962.1 ; WP_003112350.1"	"PGD105310"	"PA14_47800"	"PA14_47800"	"tonB-dependent receptor"	"YP_791974.1 ; WP_003140414.1"	"PGD1658552"
